#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITfallofarnor.1;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.42;You gather your council, announcing that you'll claim the crown of Arnor. Your advisors are asking you if you're going to try to reunificate Arthedain and Cardolan, or take the crown for yourself?;Vous réunissez votre conseil, annonçant que vous allez réclamer la couronne d'Arnor. Vos conseillers vous demandent alors si vous allez tenter de réunir l'Arthedain et le Cardolan, ou de prendre cette couronne pour vous-même?;;;;;;;;;;;;x
EVTOPTAfallofarnor.42;Arthedain is the last Strong Kingdom;Arthedain est le seul Royaume qui vaille.;;;;;;;;;;;;x
EVTOPTBfallofarnor.42;Cardolan should remains to Arnor !;Le Cardolan doit faire partie d'Arnor !;;;;;;;;;;;;x
EVTOPTCfallofarnor.42;It as a bad idea…;C'était une mauvaise idée…;;;;;;;;;;;;x
EVTTITfallofarnor.43;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.43;A large ceremony was held in front of the palace of Annúminas. All the nobles houses of the kingdom are here, and rejoice while we put on your head the crown of Arnor.;Une grande cérémonie a lieu devant le palais d'Annuminas. Tout les nobles du Royaume sont réunis, et se réjouissent, alors que l'on pose sur votre tête la couronne d'Arnor.;;;;;;;;;;;;x
EVTOPTAfallofarnor.43;I'm the True King !;Je suis le Roi !;;;;;;;;;;;;x
EVTTITfallofarnor.44;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.44;While you were going to attack the Cardolan, you learn that the King of Arthedain took the crown of Arnor. The strength of the Dunedain is perhaps not yet extinct ...;Alors que vous vous apprêtiez à attaquer le Cardolan, vous apprenez que le roi d'Arthedain a pris la couronne d'Arnor. La force des Dunedains n'est peut-être pas encore éteinte finalement...;;;;;;;;;;;;x
EVTOPTAfallofarnor.44;I should prepare other plans…;Je vais devoir préparer d'autres plans…;;;;;;;;;;;;x
EVTOPTBfallofarnor.44;Curses!;Malédiction !;;;;;;;;;;;;x
EVTOPTCfallofarnor.44;Anyway, I attack Cardolan!;J'attaque le Cardolan malgré tout !;;;;;;;;;;;;x
EVTTITfallofarnor.45;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.45;The King of Arthedain decided to claim the crown of Arnor, and asks you to reunificate your kingdom with his own, in order to withstand the force of Angmar. What do you say?;Le Roi d'Arthedain a décidé de réclamer la couronne d'Arnor, et vous demande de réunir votre royaume avec le sien, afin de pouvoir résister à la force d'Angmar. Que répondez-vous?;;;;;;;;;;;;x
EVTOPTAfallofarnor.45;You're my King…;Vous êtes mon Roi;;;;;;;;;;;;x
EVTOPTBfallofarnor.45;This crown remains to me !;Cette couronne me revient !;;;;;;;;;;;;x
EVTTITfallofarnor.46;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.46;The King of Cardolan has accepted your proposal and your two kingdoms were reunited. You now have a large force, and you'll certainly be able to resist to Angmar ...;Le Roi du Cardolan a accepté votre proposition, et vos deux royaumes sont enfin réunis. Vous avez maintenant une force importante, et vous serez certainement capable de tenir tête à l'Angmar...;;;;;;;;;;;;x
EVTOPTAfallofarnor.46;Perfect.;Parfait.;;;;;;;;;;;;x
EVTTITfallofarnor.47;The King of Arnor;Le Roi d'Arnor;;;;;;;;;;;;x
EVTDESCfallofarnor.47;The King of Cardolan has declined your proposal, saying he deserves this crown more than you. Your two realms are separate, and you attract the attention of the Witch-king on you ...;Le Roi du Cardolan a refusé votre proposition, en disant qu'il mérite plus que vous cette couronne. Vos deux royaumes sont donc séparés, et vous attirez l'attention du Roi-Sorcier sur vous...;;;;;;;;;;;;x
EVTOPTAfallofarnor.47;Curses !;Malédiction !;;;;;;;;;;;;x
EVTTITfallofarnor.48;New plans…;Nouveaux plans…;;;;;;;;;;;;x
EVTDESCfallofarnor.48;You didn't expect the return of a king on the throne of Isildur, and you have to review your plans. What will you do?;Vous ne vous attendiez pas au retour d'un Roi sur le trône d'Isildur, et vous avez du revoir vos plans. Qu'allez-vous faire?;;;;;;;;;;;;x
EVTOPTAfallofarnor.48;I'll try to Kill this new King…;Je vais essayer de tuer ce Roi…;;;;;;;;;;;;x
EVTOPTBfallofarnor.48;I'll attack the elves…;Je vais attaquer les elfes…;;;;;;;;;;;;x
EVTOPTCfallofarnor.48;I'll conquer the Anduin Vale.;Je vais conquérir le Val d'Anduin.;;;;;;;;;;;;x
EVTTITfallofarnor.49;The Weather Hills;Les Collines du Temps;;;;;;;;;;;;x
EVTDESCfallofarnor.49;Shortly after your coronation, you learn that the Men of Rhudaur will now head to the Weather Hills, and the Tower of Amon Sûl. You need to strengthen your defenses in this sector ...;Peu après votre sacre, vous apprenez que les Hommes du Rhudaur se dirigent dorénavant vers les Collines du Temps, et la Tour d'Amon Sûl. Vous devriez renforcer vos défenses dans ce secteur...;;;;;;;;;;;;x
EVTOPTAfallofarnor.49;I'll lead myself, from Amon Sûl.;Je commanderais moi-même, depuis Amon Sûl.;;;;;;;;;;;;x
EVTOPTBfallofarnor.49;One of my general will lead the region.;L'un de mes généraux renforcera la région.;;;;;;;;;;;;x
EVTTITfallofarnor.50;Weather Hills;Les Collines du Temps;;;;;;;;;;;;x
EVTDESCfallofarnor.50;The movement of your troops to the Hills of Time there drew the King of Arnor to Amon Sûl. You should take advantage of this proximity to kill him!;Le mouvement de vos troupes vers les Collines du Temps a attiré le Roi d'Arnor à Amon Sûl. Vous devriez profiter de cette proximité pour le tuer !;;;;;;;;;;;;x
EVTOPTAfallofarnor.50;Attack his camp!;Attaquez son camp !;;;;;;;;;;;;x
EVTOPTBfallofarnor.50;He's too powerful for now ...;Il est trop puissant pour le moment...;;;;;;;;;;;;x
EVTTITfallofarnor.51;Weather Hills;Les Collines du Temps;;;;;;;;;;;;x
EVTDESCfallofarnor.51;You've established your camp at the foot of the tower of Amon Sûl. While your scouts seemed to indicate that the enemy was still far away, the Hillmen attacked you at dawn. Will you fight in the open, or retreat behind the walls of the Tower?;Vous avez établi votre camp au pied de la tour d'Amon Sûl. Alors que vos éclaireurs semblaient annoncer que l'armée ennemie était encore loin, elle vous attaque à l'aube. Allez-vous combattre à découvert, ou vous replier derrière les murs de la Tour?;;;;;;;;;;;;x
EVTOPTAfallofarnor.51;They are nothing compared to me!;Ils ne sont rien face à moi !;;;;;;;;;;;;x
EVTOPTBfallofarnor.51;Our defenses will resist this army !;Nos défenses résisteront à cette armée.;;;;;;;;;;;;x
EVTTITfallofarnor.52;Fall of the King;La Chute du Roi;;;;;;;;;;;;x
EVTDESCfallofarnor.52;The King of Arnor had too much confidence in his strength, and he fell in the battle against your Hillmen. Nevertheless, your army was finally repulsed, and lost many men ...;Le Roi d'Arnor a eu trop grande confiance en sa force, et il est tombé au cours de la bataille contre vos Hommes des Collines. Malgré tout, votre armée a finalement été repoussée, et a perdu de nombreux hommes...;;;;;;;;;;;;x
EVTOPTAfallofarnor.52;Their mission is accomplished ...;Leur mission est accomplie...;;;;;;;;;;;;x
EVTTITfallofarnor.54;Fail of the Mission;Echec de la Mission;;;;;;;;;;;;x
EVTDESCfallofarnor.54;The King of Arnor survived your strengths, and almost all your men are dead. The strength of the Dunedain is again too great for you, and you should try to expand your troops before thinking about fighting them again.;Le Roi d'Arnor a survécu à vos forces, et presque tous vos hommes sont morts. La Force des Dunedains est encore trop grande pour vous, et vous devriez tenter d'agrandir vos troupes avant de penser à vous battre contre eux de nouveau.;;;;;;;;;;;;x
EVTOPTBfallofarnor.54;I'll attack the elves instead.;J'attaquerais les elfes en attendant.;;;;;;;;;;;;x
EVTTITfallofarnor.53;A True Warrior;Un Vrai Guerrier;;;;;;;;;;;;x
EVTDESCfallofarnor.53;You survived the attack of the Men of the Hills, and you have proven your worth in combat. Your vassals are raving about you, and see you as a legitimate King of Arnor.;;;;;;;;;;;;;x
EVTOPTAfallofarnor.53;I'm a true Numenorean.;Je suis un vrai Numénoréen.;;;;;;;;;;;;x
EVTTITfallofarnor.55;Weather Hills;Les Collines du Temps;;;;;;;;;;;;x
EVTDESCfallofarnor.55;You learn that the King of Arnor sent a general to strengthen its defenses, and remained himself in Annúminas. Your army can't defeat Arnor during this battle, and the goal of this movement is no longer valid. You should retreat ...;Vous apprenez que le Roi d'Arnor a envoyé un général pour renforcer ses défenses, et est resté lui-même à Annuminas. Votre armée ne peut pas vaincre celle d'Arnor durant cette bataille, et le but de ce mouvement n'est plus d'actualité. Vous devriez battre en retraite...;;;;;;;;;;;;x
EVTOPTAfallofarnor.55;My plan fails…;Mon plan a échoué…;;;;;;;;;;;;x
EVTTITfallofarnor.56;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.56;You learn that the Witch-king abandons the Arnor conquest for a time to strengthen his power. It seems he wants to tackle your refuge, and destroy the last Noldor in the east of Eriador.;Vous apprenez que le Roi-Sorcier abandonne la conquête Arnor pendant un temps pour renforcer son pouvoir. Il semble qu'il souhaite s'attaquer à votre refuge, et détruire les derniers Noldor à l'Est d'Eriador.;;;;;;;;;;;;x
EVTOPTAfallofarnor.56;I reinforce my defenses.;Je renforce mes défenses !;;;;;;;;;;;;x
EVTTITfallofarnor.57;Rivendell;Fondcombe;;;;;;;;;;;;x
EVTDESCfallofarnor.57;Elrond's wisdom enabled him to guess your next attack, and has strengthened its defenses. You should accelerate your preparations ...;La sagesse d'Elrond lui a permis de deviner votre prochaine attaque, et il a renforcé ses défenses. Vous devriez accélerer vos préparatifs...;;;;;;;;;;;;x
EVTOPTAfallofarnor.57;Rivendell will be mine !;Fondcombe sera à moi !;;;;;;;;;;;;x
EVTTITfallofarnor.58;The Witch-King;Le Roi-Sorcier;;;;;;;;;;;;x
EVTDESCfallofarnor.58;Your spies report that a large army assembles in Angmar, in order to invade you. Your defenses are ready, but who's strong enough to lead your army?;Vos espions rapportent qu'une grande armée s'assemble en Angmar, dans le but de vous envahir. Vos défenses sont prêtes, mais qui sera assez fort pour diriger votre armée?;;;;;;;;;;;;x
EVTOPTBfallofarnor.58;I'll lead my troops.;Je commanderais mes troupes.;;;;;;;;;;;;x
EVTOPTAfallofarnor.58;Glorfindel will lead my troops.;Glorfindel commandera mes troupes.;;;;;;;;;;;;x
EVTTITfallofarnor.59;Rivendell;Fondcombe;;;;;;;;;;;;x
EVTDESCfallofarnor.59;Elrond seems determined to fight, and your troops are waiting for your order. Ordain, and we obey, my lord.;Elrond semble déterminé à se battre, et vos troupes n'attendent plus que votre ordre. Ordonnez, et nous obéirons, monseigneur.;;;;;;;;;;;;x
EVTOPTAfallofarnor.59;Slay them all!;Tuez-les tous !;;;;;;;;;;;;x
EVTTITfallofarnor.60;The Armies of the Noldor;Les Armées des Noldor;;;;;;;;;;;;x
EVTDESCfallofarnor.60;War is now upon you. Glorfindel will lead your armies to war, as you wanted. This true legendary soldier will certainly help to win this battle!;La Guerre est maintenant sur vous. Glorfindel commandera vos armées, comme vous l'avez ordonné. Ses talents au combat seront un atout certain pour vos troupes !;;;;;;;;;;;;x
EVTOPTAfallofarnor.60;Go Glorfindel, and Fights for Us!;En avant Glorfindel, Combattez pour notre Peuple!;;;;;;;;;;;;x
EVTTITfallofarnor.61;The Armies of the Noldor;Les Armées des Noldor;;;;;;;;;;;;x
EVTDESCfallofarnor.61;War is now upon us! Elrond, the Lord of Rivendell, ask you to lead the armies of the Noldor in battle against the Witch-King. It's time for you to show your skills.;La Guerre est sur nous! Elrond, le Seigneur de Fondcombe, vous a demandé de commander les armées des Noldor durant les combats. Il est temps de montrer vos talents…;;;;;;;;;;;;x
EVTOPTAfallofarnor.61;For the Noldor!;Pour les Noldor !;;;;;;;;;;;;x
EVTTITfallofarnor.62;Rivendell;Fondcombe;;;;;;;;;;;;x
EVTDESCfallofarnor.62;Elrond seems determined to fight, and your troops are waiting for your order. Ordain, and we obey, my lord.;Elrond semble déterminé à se battre, et vos troupes n'attendent plus que votre ordre. Ordonnez, et nous obéirons, monseigneur.;;;;;;;;;;;;x
EVTOPTAfallofarnor.62;Slay them all!;Tuez-les tous !;;;;;;;;;;;;x
EVTTITfallofarnor.63;The Armies of the Noldor;Les Armées des Noldor;;;;;;;;;;;;x
EVTDESCfallofarnor.63;War is now upon you. You will lead your armies to war, as you wanted. You'll certainly be able to raise the morale of your troops !;La Guerre est maintenant sur vous. Vous commanderez vos armées, comme vous l'avez ordonné. Votre présence emplit vos troupes d'optimisme.;;;;;;;;;;;;x
EVTOPTAfallofarnor.63;For the Noldor!;Pour les Noldor !;;;;;;;;;;;;x
EVTTITfallofarnor.64;Eastern Conquests;Conquêtes Orientales;;;;;;;;;;;;x
EVTDESCfallofarnor.64;The Kingdoms of North, even without the Rudhaur, is too strong for us. You should expend in East, on the other side of the Misty Mountains, to raise your strength. The North of Anduin Vale and the Grey Mountains seems to be good options.;Les Royaumes du Nord, même privés du Rudhaur, sont trop forts pour vous. Vous devriez vous étendre à l'Est, de l'autre coté des Monts Brumeux, pour accroitre votre force. Le Nord du Val d'Anduin et les Montagnes Grises semblent être un bon choix…;;;;;;;;;;;;x
EVTOPTAfallofarnor.64;I'll claim these lands for the Iron Crown.;Je réclame ces terres pour la Couronne de Fer !;;;;;;;;;;;;x
EVTTITfallofarnor.65;@FIXME@ Witch-King get the claim;@FIXME@ Witch-King get the claim;;;;;;;;;;;;x
EVTDESCfallofarnor.65;@FIXME@ Witch-King get the claim;@FIXME@ Witch-King get the claim;;;;;;;;;;;;x
EVTOPTAfallofarnor.65;@FIXME@ I'll claim the Cardolan;@FIXME@ I'll claim the Cardolan;;;;;;;;;;;;x
diplomatic_rhudaur;@FIXME@ War on Rhudaur;@FIXME@ War on Rhudaur;;;;;;;;;;;;x
