#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITwarofthering.1;You Stand On The Brink;Sur le Pied de Guerre;;;;;;;;;;;;x
EVTDESCwotr.17;You meet Frodo one night at your scrying mirror, and show him a vision of the future. Scared, he offers you the ring, asking you to set things right. You do not deny you have long desired this...;Vous rencontrez Frodon durant la nuit près de votre miroir, et vous lui montrez une vision de son futur. Effrayé, il vous offre l'Anneau, vous demandant de rétablir les choses. Vous ne pouvez nier que vous l'avez longtemps désiré…;;;;;;;;;;;;x
EVTOPTAwotr.17;AI Decision Only;AI Decision only;;;;;;;;;;;;x
EVTOPTBwotr.17;No, I will remain Galadriel.;Non, je resterais Galadriel.;;;;;;;;;;;;x
EVTOPTCwotr.17;I will set things right!;Je vais mettre les choses en Ordre!;;;;;;;;;;;;x
EVTTITwotr.18;Fellowship disbands;La Communauté se dissout;;;;;;;;;;;;x
EVTDESCwotr.18;There is nothing to do, Galadriel has been given the ring by Frodo, and we can only now hope it will not corrupt her. I will go south then, to fight Sauron!;Il n'y a plus rien à faire, Galadriel a reçu l'Anneau de la main de Frodon, et nous ne pouvons qu'esperer qu'elle ne sera pas corrompue par ce pouvoir. Je vais donc aller au Sud, et combattre Sauron!;;;;;;;;;;;;x
EVTOPTAwotr.18;To Gondor!;Au Gondor!;;;;;;;;;;;;x
EVTTITwotr.19;Fellowship disbands;La Communauté se dissout;;;;;;;;;;;;x
EVTDESCwotr.19;Galadriel has been offered the ring and taken it, and there is now no reason to journey to Mt.Doom.;Galadriel s'est vu offrir l'Anneau et l'a pris, il n'y a plus aucune raison de continuer à voyager vers la Montagne du Destin.;;;;;;;;;;;;x
EVTOPTAwotr.19;End of Journey…;La Fin du Voyage...;;;;;;;;;;;;x
EVTTITwotr.20;Along the Anduin;Le long de l'Anduin;;;;;;;;;;;;x
EVTDESCwotr.20;With ships, you sail south from Lorien down the Anduin. One day while camped on the side of the river, you are attacked by Orcs bearing the white hand of Saruman!;Avec des bateaux, vous naviguez vers le Sud depuis la Lorien, le long de l'Anduin. Alors que vous campiez sur une rive du fleuve, vous êtes attaqué par des Orques portant la Main Blanche de Saruman !;;;;;;;;;;;;x
EVTOPTAwotr.20;Where is Frodo? Boromir?!;Où est Frodon? Boromir ?!;;;;;;;;;;;;x
EVTTITwotr.21;Along the Anduin;Le long de l'Anduin;;;;;;;;;;;;x
EVTDESCwotr.21;With ships, you sail south from Lorien down the Anduin. One day, while out alone collecting firewood, Boromir approaches. He tries to take the ring!;Avec des bateaux, vous naviguez vers le Sud depuis la Lorien, le long de l'Anduin. Alors que vous campiez sur une rive du fleuve, Boromir s'approche de vous… Il veut prendre l'Anneau!;;;;;;;;;;;;x
EVTOPTAwotr.21;Disappear!;Je dois disparaitre!;;;;;;;;;;;;x
EVTTITwotr.22;You have it!;Vous l'avez!;;;;;;;;;;;;x
EVTDESCwotr.22;No more cursed halflings and cowardly elves and grasping rangers! The ring will go to Gondor, and you will lead its armies to victory over Sauron!;Plus de ces maudits semi-hommes, de ces lâches elfes et de ce cupide rodeur… L'Anneau ira au Gondor, et vous menerez les armées du Gondor à la victoire contre Sauron !;;;;;;;;;;;;x
EVTOPTAwotr.22;Gondor!;Gondor !;;;;;;;;;;;;x
EVTTITwotr.41;Traitor!;Traitre!;;;;;;;;;;;;x
EVTDESCwotr.41;Boromir took the ring, this will bring nothing but doom to Gondor! Someday I will confront him, and his father, and when I do...;Boromir a pris l'Anneau, cela n'apportera rien d'autre que la destruction au Gondor ! Je vais bientôt me confronter à lui et à son père, et alors…;;;;;;;;;;;;x
EVTOPTAwotr.41;I will see them deposed.;Je prendrais le trône.;;;;;;;;;;;;x
EVTTITwotr.42;Gondor claims the Ring;Le Gondor a l'Anneau;;;;;;;;;;;;x
EVTDESCwotr.42;Your hear rumors that Boromir, Captain of Gondor has taken the ring. He vows to destroy Mordor and its people, defeat Sauron, and lead the West to great victories! Men flock to his banner.;Des rumeurs accourent, disant que Boromir, Capitaine du Gondor, a pris l'Anneau Unique. Il a fait voeu de détruire le Mordor, battre Sauron, et mener l'Ouest vers de glorieuses victoires! les Hommes se réunissent sous sa bannière.;;;;;;;;;;;;x
EVTOPTAwotr.42;I see…;Je vois…;;;;;;;;;;;;x
EVTOPTBwotr.42;I see YOU, Boromir!;Je TE vois, Boromir!;;;;;;;;;;;;x
EVTOPTCwotr.42;That's my Boromir!;C'est mon Boromir!;;;;;;;;;;;;x
EVTTITwotr.43;Boromir took the ring!;Boromir a pris l'Anneau!;;;;;;;;;;;;x
EVTDESCwotr.43;Boromir has betrayed us - he took the ring from Frodo by force, and is now making his way south to Minas Tirith with all haste. He ruined our boats during his escape, so we cannot pursue!;Boromir nous a trahi… Il a pris l'Anneau à Frodon par la Force, et fait maintenant route vers Minas Tirith en toute hâte. Il a détruit nos navires en s'échappant, nous ne pouvons le poursuivre !;;;;;;;;;;;;x
EVTOPTAwotr.43;I curse you, Boromir!;Je te maudis, Boromir!;;;;;;;;;;;;x
EVTTITwotr.23;Wait, it was a madness!;Attendez! C'était une folie!;;;;;;;;;;;;x
EVTDESCwotr.23;Your mind clears, and you realize your mistake. Then you hear orc horns! Merry and Pippin are being chased by Uruks.;Votre esprit est de nouveau clair, et vous réalisez votre erreur. Vous entendez alors des cors orques! Merry et Pippin sont poursuivis par des Uruk-Hai d'Isengard!;;;;;;;;;;;;x
EVTOPTAwotr.23;For Gondor!;Pour le Gondor!;;;;;;;;;;;;x
EVTTITwotr.24;All is woe!;Tout est malheur !;;;;;;;;;;;;x
EVTDESCwotr.24;Your fellowship is scattered. Frodo and Sam gone, Merry and Pippin captured. Frodo must do what he must, but I will not leave Merry and Pippin to torment!;Votre communauté est disloquée. Frodon et Sam partis, Merry et Pippin capturés. Frodon doit faire ce qu'il a à faire, mais je ne peux laisser Merry et Pippin souffrir mille tourments!;;;;;;;;;;;;x
EVTOPTAwotr.24;Come, Gimli, Legolas!;Legolas, Gimli, avec moi!;;;;;;;;;;;;x
EVTTITwotr.25;Along the Anduin;Le long de l'Anduin;;;;;;;;;;;;x
EVTDESCwotr.25;With ships, you sail south from Lorien down the Anduin. One night, you sneak away with Sam across the river, heading for Mordor alone.;Avec des bateaux, vous naviguez vers le Sud depuis la Lorien en suivant l'Anduin. Une nuit, vous traversez le fleuve avec Sam, partant pour le Mordor seul.;;;;;;;;;;;;x
EVTOPTAwotr.25;It is the best way.;C'est le meilleur moyen.;;;;;;;;;;;;x
EVTTITwotr.26;The Fellowship is broken.;La Communauté est dissoute.;;;;;;;;;;;;x
EVTDESCwotr.26;Though you would like to stay and help, with Frodo and the ring gone, you must go to Gondor and aid your people in their wars. You can delay no longer.;Même si vous souhaitez continuer à aider, avec Frodon et l'Anneau parti, vous devriez partir au Gondor pour aider votre peuple au combat. Vous ne pouvez attendre plus longtemps.;;;;;;;;;;;;x
EVTOPTAwotr.26;I'll be home soon.;Je serais bientôt chez moi.;;;;;;;;;;;;x
EVTTITwotr.27;Realm of the Horselords;Les Terres des Maitres des Chevaux.;;;;;;;;;;;;x
EVTDESCwotr.27;You meet Eomer, who tells you he slaughtered the Uruks in the night. Of your friends no sign except... Fangorn. Eomer lends you horses, and tells you to return them to Edoras when done.;Vous rencontrez Eomer, qui vous annonce qu'il a détruit le régiment d'Uruk dans la nuit à la lisière de Fangorn. Aucun signe de vos amis... mais... Fangorn? Eomer vous prêt des chevaux et vous demande de les ramener à Edoras quand vous aurez terminé.;;;;;;;;;;;;x
EVTOPTAwotr.27;Into Fangorn then!;Vers Fangorn alors!;;;;;;;;;;;;x
EVTTITwotr.28;Fangorn;Fangorn;;;;;;;;;;;;x
EVTDESCwotr.28;Gandalf the White has returned now, at the turning of the tide. Merry and Pippin are also safe. You follow Gandalf to Edoras, and he says that Saruman subject to his will the King...;Gandalf le Blanc est revenu, en cet instant décisif. Merry et Pippin sont sains et saufs. Vous suivez Gandalf vers Edoras, alors qu'il vous explique que le Roi est soumis à la volonté de Saruman... ;;;;;;;;;;;;x
EVTOPTAwotr.28;To the Golden Hall.;Vers le Château d'Or!;;;;;;;;;;;;x
EVTTITwotr.29;Edoras;Edoras;;;;;;;;;;;;x
EVTDESCwotr.29;You arrive at Edoras. The King looks ill, half-dead. His Steward Grima Wormtongue is clearly in league with Saruman. The hall is tense. Gandalf steps forward to break the influence of Saruman...;Vous êtes arrivé à Edoras. Le Roi semble malade, à moitié mort… Son Intendant, Grima Langue-de-Serpent est clairement allié à Saruman. La salle est tendue. Gandalf s'avance pour briser la domination de Saruman…;;;;;;;;;;;;x
EVTOPTAwotr.29;OK.;OK.;;;;;;;;;;;;x
EVTTITwotr.30;Edoras;Edoras;;;;;;;;;;;;x
EVTDESCwotr.30;You arrive at Edoras. The King looks ill, half-dead. His Steward Grima Wormtongue is clearly in league with Saruman. The hall is tense. You step forward to break the influence of Saruman...;Vous êtes arrivé à Edoras. Le Roi semble malade, à moitié mort… Son Intendant, Grima Langue-de-Serpent est clairement allié à Saruman. La salle est tendue. Vous vous avancez pour briser la domination de Saruman…;;;;;;;;;;;;x
EVTOPTAwotr.30;I release you!;Je vous libère!;;;;;;;;;;;;x
EVTTITwotr.31;An ill end;Une fin dans la maladie…;;;;;;;;;;;;x
EVTDESCwotr.31;Dark have been your dreams of late. War. Death. Despair. Finally, your heart can take no more, and you go to the halls of your fathers.;Sombre ont été vos rêves récemment. Guerre. Mort. Desespoir. Finalement, votre cœur affaibli ne peut plus en supporter d'avantage, et vous voila parti auprès de vos ancêtres.;;;;;;;;;;;;x
EVTOPTAwotr.31;Ugghhhh...;Ugghhhh...;;;;;;;;;;;;x
EVTTITwotr.32;I'm cured!;Je suis guéri!;;;;;;;;;;;;x
EVTDESCwotr.32;The darkness in your mind and body flees the bright light of Gandalf's spell. You were half-dead before, but now you live again.;Les ténèbres qui habitaient votre esprit et votre corps se sont enfuies face à la lumière brillante de l'enchantement de Gandalf. Vous étiez à moitié mort, mais vous voici de nouveau vivant.;;;;;;;;;;;;x
EVTOPTAwotr.32;Theodred? Where is my son?;Théodred? Où est mon fils?;;;;;;;;;;;;x
EVTTITwotr.33;That cursed Gandalf;Ce maudit Gandalf…;;;;;;;;;;;;x
EVTDESCwotr.33;Gandalf has foiled your plan to weaken Rohan and sow dissension amongst its captains. He has healed Theoden. Soon Rohan may be able to resist me again.;Gandalf a perturbé vos plans pour affaiblir le Rohan et semer la zizanie parmi ses capitaines. Il a guéri Théoden. Bientôt, le Rohan sera capable de me résister de nouveau…;;;;;;;;;;;;x
EVTOPTAwotr.33;Then I must strike!;Il est temps d'attaquer alors!;;;;;;;;;;;;x
EVTOPTBwotr.33;I have other plans!;J'ai d'autres plans…;;;;;;;;;;;;x
EVTTITwotr.39;WAR;Guerre !;;;;;;;;;;;;x
EVTDESCwotr.39;Go forth, my fighting Uruk-Hai! March to Helm's Deep! March to Edoras! Kill every last one who resists! You will taste man-flesh!;En avant, mes combattants Uruk-Hai! Vers le Gouffre de Helm! Vers Edoras! Tuez tout ceux qui vous résisteront! Vous gouterez à la chair humaine !;;;;;;;;;;;;x
EVTOPTAwotr.39;To war!;A la Guerre!;;;;;;;;;;;;x
EVTOPTBwotr.39;Wait, I have other plans!;J'ai d'autres plans…;;;;;;;;;;;;x
EVTTITwotr.69;Dunland;Pays de Dun;;;;;;;;;;;;x
EVTDESCwotr.69;The men of Dunland have long been under your spell, thinking they will reap a reward of rich lands in Rohan if they follow you. Should you summon them to the war as allies?;Les Hommes du Pays de Dun sont deuis longtemps sous votre domination, pensant qu'ils auront en récompense les riches terres du Rohan s'ils vous suivent. Devons-nous leur ordonner de participer à notre guerre?;;;;;;;;;;;;x
EVTOPTAwotr.69;of Course!;Bien entendu!;;;;;;;;;;;;x
EVTOPTBwotr.69;No, they'll just get in the way...;Non, qu'ils suivent leur propre chemin!;;;;;;;;;;;;x
EVTTITwotr.70;The White Wizard;Le Magicien Blanc;;;;;;;;;;;;x
EVTDESCwotr.70;Saruman promises you a reward of rich lands in Rohan, if you help him defeat the vile usurpers of the House of Eorl! What do you say?;Saruman a promis comme récompense les riches terres dy Rohan, si vous l'aidez à détruire les usurpateurs de la maison d'Eorl! Que dites-vous?;;;;;;;;;;;;x
EVTOPTAwotr.70;Rohan shall burn!;Le Rohan brulera !;;;;;;;;;;;;x
EVTOPTBwotr.70;No, I don't trust his promises!;Nous ne croyons pas à ses promesses!;;;;;;;;;;;;x
EVTTITwotr.34;Open War is upon us;Une guerre ouverte est déclarée!;;;;;;;;;;;;x
EVTDESCwotr.34;Saruman has tired of his games, and has come for your lands in open battle. You must ride out and meet him!;Saruman est fatigué de jouer, et est venu sur vos terres dans une Guerre ouverte. Vous devriez chevaucher et aller à la rencontre de ses armées!;;;;;;;;;;;;x
EVTOPTAwotr.34;Muster the Rohirrim!;Rassemblez les Rohirrim!;;;;;;;;;;;;x
EVTOPTBwotr.34;Muster the Rohirrim!;Rassemblez les Rohirrim!;;;;;;;;;;;;x
EVTTITwotr.35;War with Saruman;Guerre avec Saruman!;;;;;;;;;;;;x
EVTDESCwotr.35;Saruman has come to Rohan with fire and sword. You will join the people in their defense, and have been given command of a cavalry regiment by Theoden.;Saruman est venu au Rohan avec feu et épées. Vous rejoignez le peuple du Rohan dans leur défense, et Théoden vous a donné le commandement d'un régiment de cavalerie.;;;;;;;;;;;;x
EVTOPTAwotr.35;Rohan will hold!;Le Rohan va tenir!;;;;;;;;;;;;x
EVTTITwotr.36;Fangorn makes noises;Les bruissements de Fangorn…;;;;;;;;;;;;x
EVTDESCwotr.36;Fangorn forest is making noises, loud booming noises, so loud you can barely sleep at night. What are they so upset about?;La forêt de Fangorn semble être en mouvement, de nombreux bruissements, forts, viennent de ses profondeurs… Qu'est ce qui peut provoquer autant de bruit?;;;;;;;;;;;;x
EVTOPTAwotr.36;Could it be me?;Serait-ce ma faute?;;;;;;;;;;;;x
EVTTITwotr.37;Isengard will fall;L'Isengard va tomber;;;;;;;;;;;;x
EVTDESCwotr.37;A wizard should know better! No more will he burn our forest and kill our trees. We shall help the men of Rohan defeat the orcs, and then, Isengard!;Un Magicien devrait le savoir. Plus jamais il ne brulera notre forêt et tuera nos arbres. Nous allons aider les Hommes du Rohan à battre les Orques, et à faire chuter l'Isengard!;;;;;;;;;;;;x
EVTOPTAwotr.37;To War!;A la Guerre !;;;;;;;;;;;;x
EVTTITwotr.38;Isengard will fall;L'Isengard va tomber;;;;;;;;;;;;x
EVTDESCwotr.38;We march!;Nous sommes en marche !;;;;;;;;;;;;x
EVTOPTAwotr.38;The last march of the Ents...;La dernière marche des Ents…;;;;;;;;;;;;x
EVTTITwotr.40;Fangorn makes noises;Les bruissements de Fangorn…;;;;;;;;;;;;x
EVTDESCwotr.40;Fangorn forest is booming with loud noises, like great wooden trumpets blasting the skies. Could the stories be true, that there are ents there, and that they may be angered at Saruman?;La Forêt de Fangorn retentit de nombreux buit, comme d'immenses trompes de bois sonnant dans le ciel. Les histoires de jadis sont-elles vraies? Il y a peut-être finalement des Ents ici... Seraient-ils furieux après Saruman?;;;;;;;;;;;;x
EVTOPTAwotr.40;The last march of the Ents...;La dernière marche des Ents…;;;;;;;;;;;;x
EVTTITwotr.44;Isengard will fall;Isengard va tomber!;;;;;;;;;;;;x
EVTDESCwotr.44;A wizard should know better! No more will he burn our forest and kill our trees. Our business is with Isengard tonight!;Un Magicien devrait le savoir! Plus jamais il ne brulera notre foret et tuera nos arbres. Nous avons affaire avec l'Isengard ce soir!;;;;;;;;;;;;x
EVTOPTAwotr.44;The last march of the Ents...;La dernière marche des Ents…;;;;;;;;;;;;x
EVTTITwotr.440;Isengard will fall;Isengard va tomber!;;;;;;;;;;;;x
EVTDESCwotr.440;We will reclaim the Westmarch!;Un Magicien devrait le savoir! Plus jamais il ne brulera notre foret et tuera nos arbres. Nous avons affaire avec l'Isengard ce soir!;;;;;;;;;;;;x
EVTOPTAwotr.440;Together with the ents we strike!;La dernière marche des Ents…;;;;;;;;;;;;x
EVTTITwotr.45;It is time;Il est temps!;;;;;;;;;;;;x
EVTDESCwotr.45;It is time to strike. Sauron will soon launch his war, and I must launch mine at the same time.;Il est temps de frapper. Sauron va bientôt lancer sa guerre, et je devrais lancer la mienne en même temps.;;;;;;;;;;;;x
EVTOPTAwotr.45;Rohan will fall!;Le Rohan va tomber!;;;;;;;;;;;;x
EVTOPTBwotr.45;No, I have other plans!;J'ai d'autres plans…;;;;;;;;;;;;x
EVTTITwotr.46;Boromir returns!;Boromir est de retour!;;;;;;;;;;;;x
EVTDESCwotr.46;Boromir has brought you a Kingly Gift! Of course, he wants to hang on to it for a little while, to make a trial of his plans, but that is fine by me!;Boromir a ramené pour vous un cadeau digne d'un Roi! Bien sur, il veut le garder encore un peu, pour faire un test de ces plans, mais ça m'est égal!;;;;;;;;;;;;x
EVTOPTAwotr.46;I knew he would make it!;Je savais qu'il réussirait!;;;;;;;;;;;;x
EVTTITwotr.47;Osgiliath;Osgiliath;;;;;;;;;;;;x
EVTDESCwotr.47;Your men bravely hold the east side of Osgiliath still, against all the armies of Mordor! This gives you hope, Gondor is stronger than the enemy supposed!;Vos hommes tiennent courageusement la rive Est d'Osgiliath contre les armées du Mordor! Cela vous donne de l'espoir, le Gondor est plus fort que ce que l'ennemi supposait!;;;;;;;;;;;;x
EVTOPTAwotr.47;Yet in the end...;Pourtant, à la fin…;;;;;;;;;;;;x
EVTTITwotr.48;Osgiliath;Osgiliath;;;;;;;;;;;;x
EVTDESCwotr.48;The enemy is gathering on the east side of the river, building siege engines and vast stores of supplies and equipment. Soon, Sauron will be ready to strike...;L'ennemi s'est installé sur la rive est du fleuve, construisant des engins de sièges et d'immenses entrepots d'armes et de ravitaillement. Bientôt, Sauron sera prêt à attaquer…;;;;;;;;;;;;x
EVTOPTAwotr.48;We need more men...;Il nous faut plus d'hommes…;;;;;;;;;;;;x
EVTTITwotr.49;Corsairs of Umbar;Les Corsaires d'Umbar;;;;;;;;;;;;x
EVTDESCwotr.49;My spies inform me that the cursed heirs of Castamir are readying the black fleet for a massive invasion of southern Gondor. That will draw away much help we hoped to get from there, against Mordor...;Mes espions m'informent que les héritiers maudits de Castamir ont levé leur flotte noire pour une invasion massive du Sud du Gondor. Cela va mobiliser des renforts dont j'aurais eu bien besoin ici, contre le Mordor…;;;;;;;;;;;;x
EVTOPTAwotr.49;Curses.;Malédiction...;;;;;;;;;;;;x
EVTTITwotr.50;The Heir of Isildur;L'héritier d'Isildur;;;;;;;;;;;;x
EVTDESCwotr.50;Aragorn, son of Arathorn... last true heir of the Kings rides with the Rohirrim in battle against Saruman. He wields Anduril, Narsil-reforged! Has he come for the throne of Gondor?;Aragorn, fils d'Arathorn... Le dernier véritable héritier des Rois chevauche avec les Rohirrim dans la bataille contre Saruman. Il brandit Anduril, reforgée avec les fragments de Narsil! Est-ce qu'il vient pour le trône du Gondor?;;;;;;;;;;;;x
EVTOPTAwotr.50;The rule of Gondor is mine!;Le destin du Gondor est entre mes mains!;;;;;;;;;;;;x
EVTOPTBwotr.50;I see...;Je vois…;;;;;;;;;;;;x
EVTTITwotr.51;The Hour Approaches;L'heure approche…;;;;;;;;;;;;x
EVTDESCwotr.51;Black Fumes rise from Mt.Doom, covering the land in darkness. Soon it will reach Minas Tirith, and when it does, you will unleash your armies upon the pathetic remnants of Numenor;Des fumées noires s'élevent de la Montagne du Destin, recouvrant les terres de ténèbres. Bientôt, ce nuage atteindra Minas Tirith, et quand ce sera le cas, vous lacherez vos armées sur les restes pathétiques de Numenor.;;;;;;;;;;;;x
EVTOPTAwotr.51;Soon...;Bientôt…;;;;;;;;;;;;x
EVTTITwotr.52;The Hour Approaches;L'heure approche…;;;;;;;;;;;;x
EVTDESCwotr.52;Black Fumes rise from Mt.Doom, covering the land in darkness. Soon it will reach Minas Tirith, and when it does, Sauron will unleash his armies upon the heirs of mighty Numenor.;Des fumées noires s'élevent de la Montagne du Destin, recouvrant les terres de ténèbres. Bientôt, ce nuage atteindra Minas Tirith, et quand ce sera le cas, Sauron enverra ses armées sur les héritiers de la puissante Numenor.;;;;;;;;;;;;x
EVTOPTAwotr.52;Prepare the defenses!;Préparez les défenses!;;;;;;;;;;;;x
EVTTITwotr.53;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.53;The Shadow has reached Minas Tirith. It is now time to launch the main assault.;L'Ombre a atteint Minas Tirith. Il est maintenant temps de lancer l'assaut principal !;;;;;;;;;;;;x
EVTOPTAwotr.53;Let darkness rule!;Que les Ténèbres soient!;;;;;;;;;;;;x
EVTTITwotr.54;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.54;Sauron has launched his great war against Gondor. This is the hour we have been waiting for. Now we can strike at Belfalas and Anfalas in great force, meeting little resistance!;Sauron a commencé sa Grande Guerre contre le Gondor. C'est le moment pour lequel nous avons attendu. Maintenant, nous pouvons attaquer le Belfalas et l'Anfalas en force, nous rencontrerons peu de résistance! ;;;;;;;;;;;;x
EVTOPTAwotr.54;Unleash the Black Fleet!;Que la Flotte Noire prenne la Mer!;;;;;;;;;;;;x
EVTOPTBwotr.54;No, not now.;Non, pas maintenant.;;;;;;;;;;;;x
EVTTITwotr.55;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.55;Sauron has launched his great war against Gondor. The beacons are lit. You have done what you can for Rohan, now you must come to Minas Tirith by a different road...;Sauron a entamé sa grande guerre contre le Gondor. Les feux d'alarme sont allumés. Vous avez fait ce que vous avez pu pour le Rohan, maintenant vous devez rejoindre Minas Tirith... en prenant un chemin détourné…;;;;;;;;;;;;x
EVTOPTAwotr.55;The path of the dead...;Le chemin des Morts…;;;;;;;;;;;;x
EVTTITwotr.56;The Heir of Isildur;L'héritier d'Isildur;;;;;;;;;;;;x
EVTDESCwotr.56;Your spies report that the Heir of Isildur has left Rohan, and is headed for Gondor - by the paths of the dead in Dunharrow!;Vos espions vous informent que l'Héritier d'Isildur a quitté le Rohan, et fait route vers le Gondor, par le chemin des Morts à Dunharrow!;;;;;;;;;;;;x
EVTOPTAwotr.56;Madness!;Folie!;;;;;;;;;;;;x
EVTOPTBwotr.56;Perhaps the old prophecy is true?;L'ancienne prophétie est-elle vraie?;;;;;;;;;;;;x
EVTTITwotr.57;Gondor At Last!;Le Gondor, enfin.;;;;;;;;;;;;x
EVTDESCwotr.57;With an army of the dead following you, you come to Lamedon, where the light of Anduril and your kingly presence quickly gathers more men to your side. The rumor of your coming flows before you like wildfire.;Avec l'Armée des Morts à vos cotés, vous êtes entré dans le Lamedon, où la lumière d'Anduril et votre présence royale a rapidement réuni de nombreux hommes à vos cotés. La rumeur de votre venue s'étens devant vous comme une traînée de poudre.;;;;;;;;;;;;x
EVTOPTAwotr.57;We march swiftly.;Allons avec célérité!;;;;;;;;;;;;x
EVTTITwotr.58;The Men of the South Rally;Les Hommes du Sud se rallient à vous.;;;;;;;;;;;;x
EVTDESCwotr.58;More men flock to your banner. These are not professional soldiers, but rather the local garrisons. The army of the dead drives away a Corsair fleet, and more join you at Pelargir. Now for Minas Tirith!;De plus en plus d'hommes s'unissent sous votre bannière. Ils ne sont pas des soldats professionnels, mais plus des milices locales. L'armée des Morts a fait s'enfuir une flotte de Corsaires, et encore plus d'hommes vous rejoignent à Pelargir. En avant, vers Minas Tirith maintenant!;;;;;;;;;;;;x
EVTOPTAwotr.58;We must hurry!;Depêchons-nous!;;;;;;;;;;;;x
EVTTITwotr.59;The Heir of Isildur;L'héritier d'Isildur;;;;;;;;;;;;x
EVTDESCwotr.59;Aragorn's army of the dead has driven away a Corsair fleet about to attack Pelargir, and now he rallies the men of the South to come to the aid of Minas-Tirith.;L'armée des morts menée par Aragorn a fait fuir une flotte de Corsaires qui s'appretait à attaquer Pelargir, et maintenant il rallie les hommes du Sud pour apporter de l'aide à Minas Tirith.;;;;;;;;;;;;x
EVTOPTAwotr.59;Damn him!;Maudit soit-il…;;;;;;;;;;;;x
EVTOPTBwotr.59;He could be a true King...;Il pourrait être un vrai Roi…;;;;;;;;;;;;x
EVTTITwotr.60;Light the Beacons;Allumer les Feux d'Alarme;;;;;;;;;;;;x
EVTDESCwotr.60;Rohan has suffered greatly, but our situation is dire. We must light the beacons, and let them know of our great need!;Le Rohan a beaucoup souffert, mais notre situation est encore pire. Nous devrions allumer les feux d'alarme, et les prévenir que nous avons grand besoin d'eux!;;;;;;;;;;;;x
EVTOPTAwotr.60;Light the Beacons!;Allumez les Feux!;;;;;;;;;;;;x
EVTOPTBwotr.60;Gondor needs no help from ill-bred peasants!;Le Gondor n'a pas besoin de ses soldats-paysans!;;;;;;;;;;;;x
EVTTITwotr.61;The beacons are lit!;Les feux d'alarme sont allumés!;;;;;;;;;;;;x
EVTDESCwotr.61;Gondor calls for aid - they are facing the full might of the Dark Lord and his armies. But we have suffered greatly... can we answer their call?;Le Gondor appelle à l'aide! Ils font face à toute la puissance du Seigneur Noir et de ses armées. Mais nous avons souffert grandement... Pouvons-nous répondre à leur appel?;;;;;;;;;;;;x
EVTOPTAwotr.61;We ride for Minas Tirith!;Nous chevauchons pour le Gondor!;;;;;;;;;;;;x
EVTOPTBwotr.61;They did not come to our aid...;Ils ne sont pas venus à notre aide…;;;;;;;;;;;;x
EVTTITwotr.62;The War;La Guerre;;;;;;;;;;;;x
EVTDESCwotr.62;The battles rage, and from the top of the Tower of Echtelion, you can see fires burning in many nearby provinces. With such a vast host the enemy has gathered against you, he must still fear the might of Gondor.;La bataille fait rage, et depuis le sommet de la tour d'Ecthelion, vous pouvez voir des incendies faire rage dans de nombreuses provinces. Avec la si vaste armée que Sauron a réuni, il doit certainement craindre encore la puissance du Gondor.;;;;;;;;;;;;x
EVTOPTAwotr.62;Gondor still stands!;Le Gondor résiste encore!;;;;;;;;;;;;x
EVTTITwotr.63;The Battles Rage;La Bataille fait rage;;;;;;;;;;;;x
EVTDESCwotr.63;The War you have been preparing for all your life is raging across Gondor, and with Anduril blazing with the fire of the west, enemy hosts will break before you!;La Guerre pour laquelle vous vous êtes préparé toute votre vie faire rage dans tout le Gondor, et avec Anduril brulant vec le Feu de l'Ouest, chaque adversaire sera brisé avant vous! ;;;;;;;;;;;;x
EVTOPTAwotr.63;Elendil! Elendil!;Elendil! Elendil!;;;;;;;;;;;;x
EVTTITwotr.64;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.64;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTAwotr.64;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITwotr.65;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.65;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTAwotr.65;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITwotr.66;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.66;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
EVTOPTAwotr.66;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITwotr.67;The Great War;La Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.67;Sauron is calling you to the Great War against the Men of the West. The forces you have prepared for this are ready!;Sauron vous appelle à participer à la grande guerre contre les Hommes de l'Ouest. Les forces que vous entraîniez en secret sont prêtes !;;;;;;;;;;;;x
