#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTOPTA55003;We are indeed wise.;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESC55004;Although every civilised elf in Arda and Valinor knows Quenya is the superior language of the arts, this local Sindarin language does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;Bien que tous les hommes civilisés de la chrétienté sachent que le français est la vraie langue de la communication, cette nouvelle langue anglaise s'avère très commode. J'ai donc eu gain de cause sur un membre de ma Cour afin qu'elle soit adoptée pour l'emploi administratif quotidien.;Obwohl jeder zivilisierte Mann der Christenheit weiß, dass Französisch die einzig wahre Kommunikationsform ist, hat diese neue englische Sprache auch einen gewissen Nutzen. Aus diesem Grund habe ich ein Mitglied meines Hofes dazu gedrängt, sie für das tägliche Verwaltungsgeschäft zu übernehmen.;;Aunque todos los hombres civilizados de la cristiandad saben que el francés es la verdadera lengua de comunicación, el nuevo idioma inglés tiene cierta funcionalidad. He convencido a un miembro de mi corte de que lo adopte como lengua administrativa de uso cotidiano.;;;;;;;;;x
EVTOPTA55004;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESC55005;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my vassals round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Je réfléchissais à une affaire importante lorsque j'ai eu une idée étonnante. Pour renforcer mon Royaume, je dois convertir mes vassaux à ma façon de penser. Cela passe par la communication. Si je parviens à leur faire adopter mon mode de communication, mon Royaume fonctionnera beaucoup mieux.;Beim Nachdenken über ein wichtiges Geschäft kam ich zu einer erstaunlichen Einsicht: Zur Stärkung meines Reichs muss ich meine Vasallen von meiner Denkweise überzeugen, und dazu gehört auch die Kommunikation. Wenn ich es schaffen könnte, dass alle wie ich kommunizieren, so wäre mein Reich viel einfacher zu regieren.;;Estaba ocupado con asuntos importantes cuando tuve una súbita revelación. Para reforzar mi reino debo lograr que mis vasallos compartan mi forma de pensar. Eso implica comunicación. Si logro que se comuniquen como yo mi reino funcionará mucho mejor.;;;;;;;;;x
EVTOPTA55005;Sometimes I even surprise myself;Parfois, je m'étonne moi-même.;Manchmal überrasche ich mich selbst;;A veces me sorprendo a mí mismo;;;;;;;;;x

# THE KHAN OF KHANS -> THE BARADHRIM (see events_coming_of_men.csv)

EVTDESC290;I have decided to institute the [From.GetProposedLaw] Law. All that is needed is the support of yourself and my other loyal vassals.\n\nYour [From.Holder.GetTitle];J'ai décidé d'instituer la loi [From.GetProposedLaw]. Pour cela, j'ai simplement besoin de votre soutien et de celui de mes autres fidèles vassaux.\n\nVotre [From.Holder.GetTitle];Ich habe die Einführung des Gesetzes [From.GetProposedLaw] beschlossen. Dies ist zu meiner Unterstützung und der meiner loyalen Vasallen notwendig.\n\nGezeichnet, [From.Holder.GetTitle];;He decidido instituir la ley [From.GetProposedLaw]. Todo lo que preciso es tu apoyo y el del resto de mis leales vasallos.\n\nTu [From.Holder.GetTitle];;;;;;;;;x
EVTOPTA290;Approve;Approuver;Zustimmen;;Aprobar;;;;;;;;;x
EVTOPTB290;Ignore;Ignorer;Ignorieren;;Ignorar;;;;;;;;;x
EVTDESC291;I have decided to institute the [From.GetProposedLaw] Law in the [From.GetFullName]. Your status as my de jure vassal entitles you to vote on the matter.\n\n[From.Holder.GetTitledName];J'ai décidé d'instituer la loi [From.GetProposedLaw] sur le territoire suivant : [From.GetFullName]. Votre statut de vassal de Jure vous permet de voter.\n\nVotre [From.Holder.GetTitle];Ich habe die Einführung des Gesetzes [From.GetProposedLaw] in [From.GetFullName] beschlossen. Euer Status als mein de jure-Vasall berechtigt Euch, darüber abzustimmen.\n\nGezeichnet,[From.Holder.GetTitle];;He decidido instituir la ley [From.GetProposedLaw] en el [From.GetFullName]. Tu estatus como vasallo mío de iure te autoriza a votar al respecto.\n\nTu [From.Holder.GetTitle];;;;;;;;;x
EVTDESC292;I have decided to institute the [From.GetProposedLaw] Law in the [From.GetFullName]. Since this is a Crown Law and you are a formal elector of [From.GetName], you may vote, even though you are not my vassal... yet.\n\n[From.Holder.GetTitledName];J'ai décidé d'instituer la loi [From.GetProposedLaw] sur le territoire suivant : [From.GetFullName]. Comme il s'agit d'une loi de la Couronne et que vous comptez parmi les électeurs officiels de [From.GetName], vous pouvez voter, même si vous n'êtes pas mon vassal... du moins pas encore.\n\nVotre [From.Holder.GetTitle];Ich habe die Einführung des Gesetzes [From.GetProposedLaw] in [From.GetFullName] beschlossen. Da dies ein Krongesetz ist und Ihr ein offizieller Kurfürst von [From.GetName] seid, dürft auch Ihr abstimmen, obwohl Ihr nicht mein Vasall seid ... oder noch nicht.\n\nGezeichnet, [From.Holder.GetTitle];;He decidido instituir la ley [From.GetProposedLaw] en el [From.GetFullName]. Dado que es una ley de la Corona y tú eres un elector formal de [From.GetName], puedes votar aunque no seas vasallo mío... Aún.\n\nTu [From.Holder.GetTitle];;;;;;;;;x
EVTDESC600;A revolt has broken out in [Root.GetName]! Angered by my 'oppressive' rule, the locals have taken to arms.;Une révolte a éclaté à [Root.GetName] ! En colère contre mon 'règne tyrannique', les paysans ont pris les armes.;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über meine 'Gewaltherrschaft' und haben daher zu den Waffen gegriffen.;;¡Ha estallado una revuelta en [Root.GetName]! Furiosos por mi 'gobierno opresor', los campesinos han tomado las armas.;;;;;;;;;x
EVTOPTA600;How dare they oppose me!;Comment osent-ils s'opposer à moi !;Wie können sie es wagen, sich gegen mich zu stellen!;;¿Cómo osan oponerse a mí?;;;;;;;;;x
EVTDESC601;A revolt has broken out in [From.GetName]! Angered by the oppressive rule of [From.County.Holder.GetTitledName], the locals have taken to arms. Their indiscriminate destruction will unfortunately hit my holdings as well...;Une révolte a éclaté à [From.GetName] ! En colère contre le règne tyrannique de [From.County.Holder.GetTitledName], les paysans ont pris les armes. Ils détruisent tout sans discernement et risquent donc de s'en prendre à mes fiefs...;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über die Gewaltherrschaft von [From.County.Holder.GetTitledName] und haben daher zu den Waffen gegriffen. Ihre wahllose Zerstörungswut wird leider auch meine Besitztümer treffen ...;;¡Ha estallado una revuelta en [From.GetName]! Furiosos por el gobierno opresor de [From.County.Holder.GetTitledName], los campesinos han tomado las armas. Por desgracia su destrucción indiscriminada también afectará a mis posesiones...;;;;;;;;;x
EVTOPTA601;If the local lord doesn't act, I had better...;Si le comte n'intervient pas, je le ferai...;Wenn der Graf nicht reagiert, sollte ich besser ...;;Si el conde no actúa, será mejor que yo...;;;;;;;;;x
EVTDESC610;Wild rebels have taken control of one of our holdings in [From.GetName] and looted it!;Des paysans rebelles ont pris le contrôle d'une de nos fiefs de [From.GetName] et l'ont mise à sac !;Bauernrebellen haben die Kontrolle über eins unserer Besitztümer in [From.GetName] übernommen und es geplündert!;;¡Los campesinos rebeldes se han apoderado de una posesión nuestra en [From.GetName] y la han saqueado!;;;;;;;;;x
EVTOPTA610;They should all be hanged!;Qu'ils soient tous pendus !;Sie sollten alle gehängt werden!;;¡Deberían colgarles a todos!;;;;;;;;;x
EVTDESC615;The rebels in [From.GetName] have been dispersed and our holding taken back!;Les paysans rebelles de [From.GetName] ont été dispersés et nous avons repris le contrôle de notre fief !;Die Bauernrebellen in [From.GetName] haben sich zerstreut und unser Besitztum wurde zurückerobert!;;¡Los campesinos rebeldes de [From.GetName] han sido dispersados y nuestra posesión recuperada!;;;;;;;;;x
EVTDESC6082;An old wound is aggravating and painful;Une vieille blessure s'aggrave et devient douloureuse.;Eine alte Wunde hat sich verschlimmert und schmerzt;;Una antigua herida es irritante y dolorosa;;;;;;;;;x
EVTDESC248;We have gained a better understanding of warfare during this battle.;Cette bataille nous a permis de mieux comprendre les affaires militaires.;Während dieser Schlacht hat sich unser Verständnis militärischer Belange verbessert.;;En esta batalla hemos aumentado los conocimientos militares.;;;;;;;;;x
EVTDESC270;This battle has shown my true mettle. I am Valiant!;Cette bataille a révélé mon vrai courage. Je suis brave !;Diese Schlacht hat meinen wahren Mut bewiesen. Ich bin Tapfer!;;Esta batalla ha mostrado mi verdadero temple. ¡Soy valiente!;;;;;;;;;x
EVTDESC271;Swords are sharp and dangerous. I can lead better from inside my halls.;Les épées, ça coupe et c'est dangereux. Je préfère commander depuis mon château.;Schwerter sind scharf und gefährlich. Aus dem Innern meiner Burg kann ich besser kommandieren.;;Las espadas son afiladas y peligrosas. Puedo dirigir mejor desde dentro del castillo.;;;;;;;;;x
EVTDESC272;Attack! Attack! Attack now! CHARGE!;À l'attaque ! À l'attaque ! CHARGEZ !;Angreifen! Angreifen! Sofort Angreifen! STURM!;;¡Atacad! ¡Atacad! ¡Atacad ahora! ¡CARGAD!;;;;;;;;;x
EVTDESC273;My careful maneuvers in this battle have shown our patient nature to everyone.;Les prudentes manœuvres que j'ai orchestrées au cours de cette bataille ont montré à tous combien nous pouvons être patients.;Meine vorsichtigen Manöver in dieser Schlacht haben allen unsere geduldige Natur bewiesen.;;Mis cuidadosas maniobras en esta batalla han mostrado a todos nuestra paciencia.;;;;;;;;;x
EVTDESC261;A noble has distinguished himself in this battle. Perhaps I can make use of him...;Un noble s'est distingué au cours de cette bataille. Il pourrait peut-être me servir...;Ein Edelmann hat sich in dieser Schlacht bewährt. Vielleicht kann er mir noch nützlich sein ...;;Un noble ha destacado en esta batalla. Quizá pueda servirme...;;;;;;;;;x
EVTDESC61000;My position as regent to [This.Liege.GetTitledFirstName] means that I have access to the treasury. I think I deserve a raise...;En tant que régent(e) de [This.Liege.GetTitledFirstName], j'ai accès au trésor. Je crois que je mérite une augmentation...;Meine Position als Regent von [This.Liege.GetTitledFirstName] bedeutet, dass ich Zugang zur Schatzkammer habe. Ich glaube, ich habe eine Gehaltserhöhung verdient ...;;Mi puesto como regente de [This.Liege.GetTitledFirstName] me permite acceder al tesoro. Creo que merezco un aumento...;;;;;;;;;x
EVTOPTA61000;Avo garo am man theled? Sweet, sweet gold!;Ah, le lucre !;Oh, du süßer, schnöder Mammon!;;¡Ah, dulce y sucio lucro!;;;;;;;;;x
EVTOPTB61000;Boe? I shouldn't do this.;Loin de moi cette pensée !;Gott bewahre!;;¡Dios me libre!;;;;;;;;;x
EVTTOOLTIP61001;My liege suspects my corruption;Mon suzerain me soupçonne de corruption.;Mein Lehnsherr verdächtigt mich der Korruption;;Mi señor sospecha de mí;;;;;;;;;x
EVTTOOLTIP61002;The [Root.GetStewardName] suspects my corruption;L'Intendant me soupçonne de corruption.;Mein Verwalter verdächtigt mich der Korruption;;El Mayordomo sospecha de mí;;;;;;;;;x
EVTTOOLTIP61003;My liege has proof of my corruption;Mon suzerain a la preuve que je suis corrompu(e).;Mein Lehnsherr kann meine Korruption beweisen;;Mi señor tiene pruebas de mi desfalco;;;;;;;;;x
EVTTOOLTIP61004;The [Root.GetStewardName] has proof of my corruption;Mon Intendant a la preuve que je suis corrompu(e).;Mein Verwalter kann meine Korruption beweisen;;El Mayordomo tiene pruebas de mi desfalco;;;;;;;;;x
EVTDESC61001;Gold has been disappearing from the vaults. I suspect my regent, [From.GetTitledFirstName]...;De l'argent a disparu du trésor. Je soupçonne mon(ma) régent(e), [From.GetTitledFirstName]...;Aus der Schatzkammer wurde Geld gestohlen. Ich verdächtige meinen Regenten, [From.GetTitledFirstName] ...;;Falta dinero del tesoro. Sospecho de mi regente, [From.GetTitledFirstName]...;;;;;;;;;x
EVTOPTA61001;But there is no proof!;Mais je n'ai aucune preuve !;Aber es gibt keine Beweise!;;¡Pero no hay pruebas!;;;;;;;;;x
EVTDESC61002;Gold has been disappearing from the coffers of my liege, [This.Liege.GetTitledFirstName]. I suspect the regent, [From.GetTitledFirstName]...;De l'argent a disparu des coffres de mon Suzerain, [This.Liege.GetTitledFirstName]. Je soupçonne le(la) régent(e), [From.GetTitledFirstName]...;Aus der Schatzkammer meines Lehnsherrn wurde Geld gestohlen. Ich verdächtige den Regenten, [From.GetTitledFirstName] ...;;Falta dinero de las arcas de mi señor, [This.Liege.GetTitledFirstName]. Sospecho del regente, [From.GetTitledFirstName]...;;;;;;;;;x
EVTDESC61003;I have indisputable proof that my regent, [From.GetTitledFirstName] is stealing gold from the vaults!;J'ai la preuve incontestable que mon(ma) régent(e), [From.GetTitledFirstName], a détourné des fonds du trésor !;Ich habe eindeutige Beweise, dass mein Regent, [From.GetTitledFirstName], Geld aus der Schatzkammer veruntreut!;;¡Tengo pruebas irrefutables de que mi regente, [From.GetTitledFirstName] está malversando dinero del tesoro!;;;;;;;;;x
EVTOPTA61003;The Traitor!;Quelle trahison !;Dieser Verräter!;;¡El traidor!;;;;;;;;;x
EVTDESC61004;My investigations have unearthed proof that the regent of [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], has been embezzling coin!;Mes investigations ont révélé que le(la) régent(e) de [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], a détourné des fonds !;Meine Nachforschungen haben ergeben, dass der Regent von [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], Geld veruntreut hat!;;¡Mis investigaciones han descubierto pruebas de que el regente de [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], ha malversado dinero!;;;;;;;;;x

# VOICE OF JESUS -> VOICE OF MANDOS

EVTDESC6200;This voice calling to me, telling me I was a bad person, telling me how evil I was. I realized that this was no ordinary voice, this was Mandos Námo the Doomsman of the Valar himself. I knew that I would have to live a better life or suffer judgement in his halls.;Cette voix qui m'appelait, qui me disait que j'étais quelqu'un de mauvais, l'incarnation du mal... J'ai réalisé que ce n'était pas n'importe quelle voix, mais celle de Jésus Christ, notre Seigneur et Sauveur. J'ai alors compris que je devais changer de vie.;Diese Stimme spricht mich an. Sie sagt mir, ich sei eine schlechte Person, dass ich böse wäre. Mir wurde gewahr, dass dies keine gewöhnliche Stimme war, sondern die von Jesus Christus - unserem Herrn und Heiland! Ich wusste, dass ich von nun an ein besseres Leben würde leben müssen.;;Esa voz llamándome, diciéndome que era mala persona, diciéndome lo malvado que era. Me di cuenta de que no era una voz normal, era el mismísimo Jesucristo, nuestro Señor y Redentor. Supe que debía vivir una vida mejor.;;;;;;;;;x
EVTOPTA6200;Námo calls to me;Jésus me parle.;Jesus spricht zu mir;;Jesús me llama;;;;;;;;;x
EVTDESC6201;Mandos has commanded me to give more to the poor. I cannot ignore this proclaimation.;Jésus Christ notre Seigneur m'a commandé de donner plus aux pauvres. Je ne peux pas ignorer cet appel.;Unser Herr, Jesus Christus, hat mir befohlen, den Armen mehr zu geben. Ich kann seinen Aufruf nicht ignorieren.;;Jesucristo nuestro Señor me ha ordenado que dé más a los pobres. No puedo ignorar su llamada.;;;;;;;;;x
EVTOPTA6201;The Lord of Doom wills it!;C'est la volonté du Seigneur.;Der Herr will es;;El Señor lo quiere;;;;;;;;;x

# SELF-FLAGELLATION -> ABDICATION

EVTDESC6202;My sins are far too great, and I can never redeem myself in the eyes of the people.  I am unfit to rule and must abdicate the throne.;Mon péché est trop grave, je dois me repentir. Je me moque que certains pensent que le paradis est réservé aux vrais repentants. Je revêtirai le cilice pour prouver la sincérité de ma repentance.;Da meine Sünde zu schwer wiegt, muss ich Buße tun. Mir ist egal, was andere denken: Der Himmel ist nur für wahrlich reuige Sünder da. Ich werde den Bußgürtel anlegen, um die Tiefe meiner Reue zu zeigen.;;Mi pecado es muy grave, debo mostrar arrepentimiento. No me importa lo que piensen, el cielo es solo para los que se arrepienten. Me pondré el cilicio y mostraré lo arrepentido que estoy.;;;;;;;;;x
EVTOPTA6202;For my people;Pour mon âme !;Für meine Seele;;Por mi alma;;;;;;;;;x

EVTDESC6203;I saw a hairy star in the sky, I swear it to be true. 'Twas the color of blood I tell thee. It was if [This.Religion.GetHighGodName] himself was bleeding.;J'ai vu une étoile qui m'a donné froid dans le dos. Elle avait la couleur du sang, je vous jure que c'est vrai. On aurait dit que le Seigneur en personne saignait.;Und ich sah einen haarigen Stern am Himmel, ich schwör's dir nackend in die Hand! Und blutrot war er! Als ob Gott selbst bluten würde!;;Vi una estrella de terrible aspecto en el cielo, lo juro. Te digo que era de color sangre. Como si el mismo Dios estuviese sangrando.;;;;;;;;;x
EVTOPTA6203;It's an omen;C'est un présage.;Das ist ein Omen;;Es un presagio;;;;;;;;;x
EVTDESC1900;I seem to be slow to talk;J'ai un retard de langage.;Ich scheine schwerfällig zu reden;;Parece que me cuesta hablar;;;;;;;;;x
EVTOPTA1900;Maybe someone will notice it.;Quelqu'un s'en rendra peut-être compte.;Vielleicht wird es jemand bemerken.;;Quizá alguien la viese.;;;;;;;;;x
EVTDESC1901;So where do children come from?;Alors, d'où viennent les enfants ?;Also, woher kommen Kinder nun?;;¿De dónde vienen los niños?;;;;;;;;;x
EVTOPTA1901;Maybe my father will tell me?;Mon père me le dira peut-être.;Vielleicht wird es mir mein Vater sagen?;;Quizá mi padre me lo diga.;;;;;;;;;x
EVTDESC1902;The darkness must definitely contain goblins and demons!;L'obscurité doit être peuplée de gobelins et de démons !;In der Dunkelheit gibt es sicherlich Goblins und Dämonen!;;¡La oscuridad debe albergar duendes y demonios!;;;;;;;;;x
EVTOPTA1902;Help me!;Au secours !;Hilfe!;;¡Ayúdame!;;;;;;;;;x
EVTDESC1903;Other children just get into fights with me.;Les autres enfants se chamaillent avec moi.;Andere Kinder raufen sich nur mit mir.;;Otros niños se pelean conmigo.;;;;;;;;;x
EVTOPTA1903;Maybe my father notices it.;Mon père s'en rend peut-être compte.;Vielleicht bemerkt es mein Vater.;;Quizá mi padre se dé cuenta.;;;;;;;;;x
EVTDESC1904;I just do not have enough things to play with.;Je n'ai pas assez de jouets.;Ich habe einfach nicht genug Spielzeug.;;No tengo bastantes cosas con las que jugar.;;;;;;;;;x
EVTOPTA1904;Maybe father will give me more toys.;Mon père m'en offrira peut-être d'autres.;Vielleicht gibt mir Vater mehr Spielzeug.;;Quizá mi padre me dé más juguetes.;;;;;;;;;x
EVTDESC1905;Other children talk about their mothers, but I never see my mother.;Les autres enfants parlent de leur mère, mais moi, je ne vois jamais la mienne.;Andere Kinder reden über ihre Mütter, aber ich sehe meine Mutter nie.;;Los demás niños hablan de sus madres, yo nunca veo a la mía.;;;;;;;;;x
EVTOPTA1905;Maybe father knows..;Mon père sait peut-être pourquoi...;Vielleicht weiß Vater etwas darüber.;;Quizá papá la conozca...;;;;;;;;;x
EVTDESC1906;I am rather lonely, the other children do not seem to want to be with me.;Je suis seul(e), les autres enfants me rejettent.;Ich bin ziemlich einsam, die anderen Kinder möchten wohl nicht mit mir spielen.;;Soy solitario, los demás niños no quieren estar conmigo.;;;;;;;;;x
EVTOPTA1906;It is probably no big deal.;Ce n'est sans doute pas très grave.;Das ist wahrscheinlich nicht schlimm.;;Seguramente no importa.;;;;;;;;;x
EVTDESC1907;Why must I go to school today instead of playing 'Who's afraid of the Black Orc' with my friends?;Pourquoi dois-je aller à l'école au lieu d'aller jouer à 'Qui a peur du chevalier noir' avec mes amis ?;Warum muss ich heute in die Schule gehen, anstatt mit meinen Freunden 'Wer hat Angst vorm Schwarzen Ritter' zu spielen?;;¿Por qué debo ir hoy a la escuela en lugar de jugar con mis amigos a 'quién teme al Caballero Negro'?;;;;;;;;;x
EVTOPTA1907;My will should count for more...;On ne me demande jamais mon avis...;Mein Wille sollte mehr zählen ...;;Mi voluntad debería valer más...;;;;;;;;;x
EVTDESC1908;I really wonder what orcs are. Maybe [Root.Guardian.GetFullName] knows?;Je me demande ce que sont les païens. [Root.Guardian.GetFullName] le sait peut-être.;Ich möchte wirklich wissen, was Heiden sind. Ob das [Root.Guardian.GetFullName] wohl weiß?;;Me pregunto qué son los paganos. Quizá lo sepa [Root.Guardian.GetFullName];;;;;;;;;x
EVTDESC1908_orcs;I really wonder what elves are. Maybe [Root.Guardian.GetFullName] knows?;Je me demande ce que sont les païens. [Root.Guardian.GetFullName] le sait peut-être.;Ich möchte wirklich wissen, was Heiden sind. Ob das [Root.Guardian.GetFullName] wohl weiß?;;Me pregunto qué son los paganos. Quizá lo sepa [Root.Guardian.GetFullName];;;;;;;;;x
EVTOPTA1908;I'll ask [Root.Guardian.GetHerHim]!;Je vais le lui demander !;Ich werde [Root.Guardian.GetHerHim] fragen!;;¡Le preguntaré!;;;;;;;;;x
EVTDESC1909;Climbing high walls, and practising sword fighting with my friends are great fun.;J'adore escalader les murs et faire semblant de combattre à l'épée avec mes amis.;Hohe Mauern erklettern und mit meinen Freunden Schwertkampf üben - das macht Spaß!;;Escalar muros y practicar con mis amigos la lucha con espada es muy divertido.;;;;;;;;;x
EVTOPTA1909;[Root.Guardian.GetFullName] would surely agree!;[Root.Guardian.GetFullName] serait sûrement d'accord !;[Root.Guardian.GetFullName] würde das bestimmt auch so sehen!;;¡Seguramente [Root.Guardian.GetFullName] estaría de acuerdo!;;;;;;;;;x
EVTOPTA1910;I'll ask [Root.Guardian.GetHerHim]!;Je vais le lui demander !;Ich werde [Root.Guardian.GetHerHim] fragen!;;¡Le preguntaré!;;;;;;;;;x
EVTTOOLTIP38210;[Root.Guardian.GetTitledFirstName] is asked about [This.Religion.GetHighGodName]'s existence;[Root.Guardian.GetTitledFirstName] est interrogé(e) sur l'existence de Dieu.;[Root.Guardian.GetTitledFirstName] wird über die Existenz Gottes befragt;;[Root.Guardian.GetTitledFirstName] es consultado sobre la existencia de Dios;;;;;;;;;x
EVTDESC1911;Why do people die? Maybe [Root.Guardian.GetFullName] knows?;Pourquoi est-ce que les gens meurent ? [Root.Guardian.GetFullName] le sait peut-être.;Warum sterben Menschen? Ob das [Root.Guardian.GetFullName] wohl weiß?;;¿Por qué muere la gente? Quizá lo sepa [Root.Guardian.GetFullName];;;;;;;;;x
EVTOPTA1911;I'll go ask [Root.Guardian.GetHerHim]!;Je vais aller le lui demander !;Ich werde [Root.Guardian.GetHerHim] fragen gehen!;;¡Le preguntaré!;;;;;;;;;x
EVTDESC1912;Will I rule one day? Maybe [Root.Guardian.GetFullName] knows?;Est-ce que je régnerai un jour ? [Root.Guardian.GetFullName] le sait peut-être.;Werde ich eines Tages Herrscher sein? Ob das [Root.Guardian.GetFullName] wohl weiß?;;¿Gobernaré algún día? Quizá lo sepa [Root.Guardian.GetFullName];;;;;;;;;x
EVTOPTA1912;I should ask [Root.Guardian.GetHerHim]!;Je devrais aller lui poser la question !;Ich sollte [Root.Guardian.GetHerHim] fragen!;;¡Le preguntaré!;;;;;;;;;x
EVTDESC1913;Life is good, and great parties makes them even better.;La vie est belle, et les grandes fêtes la rendent encore plus belle.;Das Leben ist schön, und tolle Feste machen es noch schöner.;;La vida es buena y las grandes fiestas la hacen aún mejor.;;;;;;;;;x
EVTOPTA1913;Maybe I should invite [Root.Guardian.GetFullName] to one of them?;Je devrais peut-être inviter [Root.Guardian.GetFullName] à l'une d'elle.;Vielleicht sollte ich [Root.Guardian.GetFullName] auf eins davon einladen?;;Quizá debería invitar a una a [Root.Guardian.GetFullName].;;;;;;;;;x
EVTDESC1914;I do not understand why we are fighting fellow Elves?;Je ne comprends pas pourquoi nous combattons d'autres catholiques.;Ich verstehe nicht, warum wir gegen katholische Glaubensbrüder kämpfen!;;No entiendo por qué luchamos contra otros católicos.;;;;;;;;;x
EVTOPTA1914;Perhaps [Root.Guardian.GetFullName] knows why?;[Root.Guardian.GetFullName] en connaît peut-être la raison.;Vielleicht weiß [Root.Guardian.GetFullName] das?;;Quizá [Root.Guardian.GetFullName] sepa por qué.;;;;;;;;;x
EVTDESC1915;I wonder why the Lords are so rich, and the common people so poor.;Je me demande pourquoi l'Église est si riche et les paysans si pauvres.;Warum ist die Kirche so reich und die Bauern so arm?;;Me pregunto por qué la iglesia es tan rica y los campesinos tan pobres.;;;;;;;;;x
EVTOPTA1915;I'll go and ask [Root.Guardian.GetFullName]!;Je vais aller poser la question à [Root.Guardian.GetFullName] !;Ich werde [Root.Guardian.GetHerHim] fragen gehen!;;¡Iré a preguntarle a [Root.Guardian.GetFullName]!;;;;;;;;;x
EVTDESC1916;I wonder why [Root.Guardian.GetFullName] let that peasant get away.;Je me demande pourquoi [Root.Guardian.GetFullName] a laissé ce paysan s'en aller.;Warum hat [Root.Guardian.GetFullName] den Bauern wohl davonkommen lassen?;;Me pregunto por qué [Root.Guardian.GetFullName] deja huir a ese campesino.;;;;;;;;;x
EVTOPTA1916;I'll go and ask [Root.Guardian.GetHerHim]!;Je vais aller lui poser la question !;Ich werde [Root.Guardian.GetHerHim] fragen gehen!;;¡Iré a preguntarle!;;;;;;;;;x
EVTDESC1917;Subjects are only good for following my commands!;Les paysans sont juste bons à obéir à mes ordres !;Bauern sind nur dafür da, meinen Befehlen zu folgen!;;¡Los campesinos solo sirven para obedecerme!;;;;;;;;;x
EVTOPTA1917;[Root.Guardian.GetFullName] will surely agree!;[Root.Guardian.GetFullName] sera sûrement d'accord !;[Root.Guardian.GetHerHim] sieht das bestimmt auch so!;;¡Seguramente [Root.Guardian.GetFullName] estará de acuerdo!;;;;;;;;;x
EVTDESC1918;Deep thoughts interest me, but I would love to hear the answers to some questions.;J'adore me plonger dans mes réflexions, mais j'aimerais bien avoir les réponses à certaines de mes questions.;Tiefe Gedanken interessieren mich, aber ich würde nur zu gern die Antworten auf einige Fragen hören.;;Me gusta reflexionar, pero me gustaría oír las respuestas a algunas preguntas.;;;;;;;;;x
EVTOPTA1918;[Root.Guardian.GetFullName] will help me out!;[Root.Guardian.GetFullName] va m'aider !;[Root.Guardian.GetHerHim] wird mir weiterhelfen!;;¡[Root.Guardian.GetFullName] me ayudará!;;;;;;;;;x
EVTDESC1919;Since we all are going to die, why not enjoy life?;Sachant que nous allons tous mourir, pourquoi ne pas profiter de la vie ?;Wenn wir alle sterben müssen, warum sollten wir dann nicht das Leben genießen?;;Dado que todos moriremos, ¿por qué no disfrutar la vida?;;;;;;;;;x
EVTOPTA1919;[Root.Guardian.GetFullName] will know what to do...;[Root.Guardian.GetFullName] saura que faire...;[Root.Guardian.GetHerHim] wird wissen, was zu tun ist ...;;[Root.Guardian.GetFullName] sabrá qué hacer...;;;;;;;;;x
EVTOPTA1920;[Root.Guardian.GetFullName] will know what to do...;[Root.Guardian.GetFullName] saura que faire...;[Root.Guardian.GetHerHim] wird wissen, was zu tun ist ...;;[Root.Guardian.GetFullName] sabrá qué hacer...;;;;;;;;;x

#### NEW FLAVOUR EVENTS;;;;;;;;;;;;;;x
EVTDESC1921;I snuck out again, found my slim sword Tachol and began practising. I'd rather practise sword fighting with Tachol than doing embroidery, but I have to watch out so none finds out and takes my sword from me...;Discrètement, je suis sortie, je suis allée chercher mon épée et j'ai commencé à m'entraîner. Je préfère le maniement de l'épée à la broderie, mais je dois veiller à ce que personne ne me voie si je ne veux pas qu'on me confisque mon épée...;Ich schlich mich wieder hinaus, fand mein Schwert Nadel und begann zu üben. Ich übe viel lieber den Schwertkampf mit Nadel, als zu sticken. Aber ich muss aufpassen, dass das niemand merkt und mir mein Schwert wegnimmt ...;;Me escabullí de nuevo, cogí mi pequeña espada Pin y empecé a practicar. Prefiero practicar la esgrima con Pin a bordar, pero debo ser cauto para que nadie lo averigüe y me quite la espada...;;;;;;;;;x
EVTOPTA1921;I was not careful enough, [Root.Guardian.GetFullName] saw me!;J'ai manqué de prudence, [Root.Guardian.GetFullName] m'a vue !;Ich war nicht vorsichtig genug. [Root.Guardian.GetFullName] hat mich gesehen!;;¡No fui lo bastante cauto, [Root.Guardian.GetFullName] me vio!;;;;;;;;;x
