#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITbuildings.1;The Ruins of Fornost;Les Ruines de Fornost;;;;;;;;;;;;x
EVTOPTBbuildings.35;No, i'm exhausted.;Je suis fatigué…;;;;;;;;;;;;x
EVTTITbuildings.36;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.36;You're attacked by many shadows in the night, and they're stronger that what you hoped. Darkness still surround this place, and most of your men flee. You have to go back to a safer place.;Vous êtes attaqués par de nombreuses ombres dans la nuit, et elles sont bien plus fortes que ce que vous n'esperiez. Les Ténèbres entourent encore ce lieu, et la plupart de vos hommes s'enfuient. Vous devez vous replier vers un endroit plus sûr. ;;;;;;;;;;;;x
EVTOPTAbuildings.36;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.37;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.37;You managed to clean most of the tower and it's now habitable. It's time to rebuild the buildings, walls, and giving back to Amon Sûl its former glory.;Vous avez réussi à nettoyer la majeure partie de la tour, et elle est maintenant habitable. Il est temps de rebatir les batiments, les murs, et de redonner à Amon Sûl sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.37;Great!;Parfait!;;;;;;;;;;;;x
EVTTITbuildings.38;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.38;The shadows weren't finally abandoned the city, and came back. You have to fight again, but overwhelmed by the enemy, you have to retreat.;Les ombres n'ont finalement pas abandonné la cité, et reviennent en force. Vous avez du vous battre de nouveau, mais submergé par l'ennemi, vous avez du battre en retraite.;;;;;;;;;;;;x
EVTOPTAbuildings.38;I'll come back.;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.39;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.39;While your men clear debris near one of the ancient gates of the Tower of Amon Sûl, they discover the remains of many soldiers, wearing the insignia of Cardolan and Arthedain. You notice, next to what remains of an old banner, the remains of a man of high rank, quickly identified as Arveleg I, the eighth king of Arthedain who was killed here while protecting the Tower. No much remains of his sword and armor, but his helmet is still perfect. This would be a perfect treasure for your home.;Alors que vos hommes enlèvent des débris près de l'un des anciennes portes de la Tour d'Amon Sûl, ils découvrent les restes de nombreux soldats, portant les insignes du Cardolan et de l'Arthedain. Vous remarquez, à côté de ce qu'il reste d'une ancienne bannière, les restes d'un homme de haut rang, rapidement identifié comme étant Arveleg I, le huitième Roi d'Arthedain, tué ici en protégeant la Tour. Il ne reste plus grand chose de son épée et de son armure, mais son casque est en parfait été. Ce serait un Trésor parfait pour votre maison.;;;;;;;;;;;;x
EVTOPTAbuildings.39;The Helmet of Arveleg!;Le Heaume d'Arveleg !;;;;;;;;;;;;x
EVTTITbuildings.103;The Ruins of Amon Sûl;Les Ruines d'Amon Sûl;;;;;;;;;;;;x
EVTDESCbuildings.103;You tried to install a few buildings inside the ruins of Amon Sûl, but soon you see your workers flee in terror. They told you that there are terrifying shadows that lurk in the ruins of the Tower, and they will not work there as long as you won't purified the place of his darkness.;Vous avez tenté d'installer quelques batiments à l'intérieur des ruines d'Amon Sûl, mais rapidement, vous voyez les ouvriers s'enfuir, terrorisés. Ils disent qu'il y a des ombres terrifiantes qui rôdent dans les ruines de la Tour, et qu'ils n'y travailleront pas tant que vous n'aurez pas purifié cet endroit de ses ténèbres.;;;;;;;;;;;;x
### OST IN EDHIL;x;;;;;;;;;;;;;
rebuild_ost_in_edhil;Rebuild Ost-in-Edhil;Reconstruire Ost-in-Edhil;;;;;;;;;;;;x
rebuild_ost_in_edhil_desc;Ost-in-Edhil was founded during the early parts of the Second Age by the Noldor. For centuries, the Gwaith-i-Mírdain of Eregion crafted the most beautiful jewels and weapons that were honed to perfection. In the war of the Elves and Sauron the city was destroyed and their leader, Celembrimbor slain.;;;;;;;;;;;;;x
EVTTITbuildings.120;The Ruins of Ost-in-Edhil;Les Ruines d'Ost-in-Edhil;;;;;;;;;;;;x
EVTDESCbuildings.120;Ost-in-Edhil was founded during the early parts of the Second Age by the Noldor. For centuries, the Gwaith-i-Mírdain of Eregion crafted the most beautiful jewels, and weapons that were honed to perfection. In the war of the Elves and Sauron the city was destroyed and their leader, Celebrimbor slain.;;;;;;;;;;;;;x
EVTOPTAbuildings.120;I'll rebuild this city!;;;;;;;;;;;;;x
EVTOPTBbuildings.120;I don't have any time to loose for this…;Je n'ai pas de temps à perdre à ça…;;;;;;;;;;;;x
EVTTITbuildings.121;The Ruins of Ost-in-Edhil;Les Ruines d'Ost-in-Edhil;;;;;;;;;;;;x
EVTDESCbuildings.121;While you send your workers start the work at Ost-in-Edhil, the foreman comes back with bad news. There's a small camp of orcs nearby and they have been ravaging our suplies. ;;;;;;;;;;;;;x
EVTOPTAbuildings.121;I'narr en gothrim glinuva nuin I'anor!;;;;;;;;;;;;;x
EVTOPTBbuildings.121;No, it's too dangerous.;;;;;;;;;;;;;x
EVTTITbuildings.122;The Ruins of Ost-in-Edhil;Les Ruines d'Ost-in-Edhil;;;;;;;;;;;;x
EVTDESCbuildings.122;You managed to scatter the orc camp nearby, and now it's time to continue the work by clearing the rabbles that clog the streets. You'll also needs to rebuild the forges;;;;;;;;;;;;;x
EVTOPTAbuildings.122;Time to clean all this land!;Il est temps de nettoyer toute cette terre!;;;;;;;;;;;;x
EVTOPTBbuildings.122;No… that's too much work.;Non, c'est trop de travail.;;;;;;;;;;;;x
EVTTITbuildings.123;The Ruins of Ost-in-Edhil;Les Ruines d'Ost-in-Edhil;;;;;;;;;;;;x
EVTDESCbuildings.123;There were more orcs than you thought and you had to retreat.;;;;;;;;;;;;x
EVTOPTAbuildings.123;Aica umbar!;Aica umbar!;;;;;;;;;;;;x
EVTTITbuildings.124;The Ruins of Ost-in-Edhil;Les Ruines d'Ost-in-Edhil;;;;;;;;;;;;x
EVTDESCbuildings.124;After several weeks of intensive work, your workers have finally cleaned the city and rebuilt the forges. Now the Gwaith-i-Mírdain can return, and restore the region to its former glory.;;;;;;;;;;;;;x
EVTOPTAbuildings.124;That's Great News!;C'est une Grande Nouvelle !;;;;;;;;;;;;x
EVTTITbuildings.125;The Ruins of Ost-in-Edhil;Les Ruines d'Ost-in-Edhil;;;;;;;;;;;;;x
EVTDESCbuildings.125;After several weeks of intensive work, your workers were able to clean most of the city, but are unable to rebuild the forges. Without the great forges, the city has no reason to be, and you leave the job for now.;;;;;;;;;;;;;x
EVTOPTAbuildings.125;Ost-in-Edhil is still ruined…;Ost-in-Edhil reste en ruine…;;;;;;;;;;;;x
### BARROW-DOWNS
EVTTITbuildings.126;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.126;Since the fall of Cardolan and abandonment of the region in TA 1409, wights have been haunting the barrows. You should drive the out and make the region safe again, but it won't be easy.;Depuis la chute de Fornost en 1974 TA, la forteresse est tombée en ruines. Vous pouvez maintenant essayer de la rebatir et d'y établir votre territoire, mais cela ne sera pas chose aisée.;;;;;;;;;;;;x
EVTOPTAbuildings.126;I will cleanse this region once and for all!;Fornost va se relever !;;;;;;;;;;;;x
EVTOPTBbuildings.126;No, I'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuildings.127;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.127;After some scouting, it is clear that Fornost is inhabited by wights and evil spirits. If you want to rebuild the ancient capital of Cardolan, you will first have to hunt and drive out all of these creatures...;Vous vous rendez compte que Fornost n'est habitée que par les loups et les esprits mauvais. Si vous souhaitez rebatir l'ancienne capitale de l'Arthedain, vous devrez d'abord en chasser toutes les créatures...;;;;;;;;;;;;x
EVTOPTAbuildings.127;I will slay evil!;Je vais tuer toutes les créatures maléfiques !;;;;;;;;;;;;x
EVTOPTBbuildings.127;No, it's too dangerous...;Non, je suis trop faible…;;;;;;;;;;;;x
EVTTITbuildings.128;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.128;You managed to hunt most of the creatures within the barrows. There are still some wolves, but you will easily drive them out. Now, the hard work begins. You must clean the tombs of debris and cleanse them from evil.;Vous avez réussi à chasser la plupart des créatures des ruines de Fornost. Il reste encore quelques loups, mais vous en viendrez facilement à bout. Maintenant, le travail le plus difficile commence, il faut nettoyer la cité des débris et de la végétation.;;;;;;;;;;;;x
EVTOPTAbuildings.128;I will clear out the barrows.;Je vais nettoyer la forteresse.;;;;;;;;;;;;x
EVTOPTBbuildings.128;No, I'm exhausted...;Je suis fatigué…;;;;;;;;;;;;x
EVTTITbuildings.129;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.129;The creatures that haunt the Barrows are stronger than you thought, and you have failed to dislodge them. After many fights, you decide to leave the downs.;Les créatures qui hantent Fornost sont plus fortes que vous ne le pensiez, et vous n'avez pas réussi à les déloger. Après de nombreux combats, vous décidez de sortir des ruines de la forteresse de l'Arthedain.;;;;;;;;;;;;x
EVTOPTAbuildings.129;I will be back...;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.130;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.130;You managed to clear out most of the tombs and it is once again in peace. Now it is time to rebuild the region, and return Tyrn Gorthad to its former glory.;Vous avez réussi à nettoyer la majeure partie de la forteresse, et elle est maintenant habitable. Il est temps de rebatir les batiments, les murs, et de redonner à Fornost Erain sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.130;Great!;Parfait!;;;;;;;;;;;;x
EVTTITbuildings.131;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.131;;As you begin to clear debris from the tombs, you are suddenly attacked by angry wights. You and your men carry only tools, and you are quickly overrun and forced to retreat.;Alors que vous commencez à nettoyer la forteresse, vous êtes attaqué par une meute de loups. Vos hommes ayant abandonné les armes pour des sacs, vous ne pouvez vous défendre, et devez battre en retraite.;;;;;;;;;;;;x;;;;;;;;;;;;x
EVTOPTAbuildings.131;Curses!;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.132;The Barrow-downs;Les Ruines de Fornost;;;;;;;;;;;;x
EVTDESCbuildings.132;While clearing out the tombs, you find a room full of collapsed rubble, not far from the main tomb. After some digging it is clear that it was once the prince of cardolan's tomb, and amidst rusty swords and broken spears, you notice a dagger still in perfect condition, and richly adorned. This is undoubtedly a dagger of westernesse, a dagger brought over from Numenor before its destruction.;Alors que vous commencez à nettoyer la forteresse, vous trouvez une salle recouverte par les décombres, non loin de la Salle du Trône. Il s'agit d'une Salle d'Armes, et au milieu des épées rouillées et des lances brisées, vous remarquez une armure en parfait état, richement parée. Il s'agit certainement de l'armure de parade d'Arvedui, le dernier Roi d'Arthedain, abandonnée durant la destruction de la Forteresse.;;;;;;;;;;;;x
EVTOPTAbuildings.132;It's not like he needs it anymore!;Elle sera parfaite pour moi !;;;;;;;;;;;;x
###MINAS ITHIL###
EVTTITbuildings.133;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.133;Since the destruction of the one ring and the purge of Ithilien, evil spirits still roam the cursed fortress of Minas Morgul. Will you restore Isildur's city and bring it back to the light?;Depuis la chute de Minas Ithil en 2002 TA, la forteresse est tombée en ruines. Vous pouvez maintenant essayer de la rebatir et d'y établir votre territoire, mais cela ne sera pas chose aisée.;;;;;;;;;;;;x
EVTOPTAbuildings.133;Minas Ithil will rise once more!;Minas Ithil va se relever !;;;;;;;;;;;;x
EVTOPTBbuildings.133;No, I'm not ready.;Non, je ne suis pas prêt.;;;;;;;;;;;;x
EVTTITbuildings.134;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.134;After some scouting, it is clear that Minas Ithil is inhabited by orcs and even more evil spirits. If you want to rebuild the ancient capital of Ithilien, you will first have to hunt and drive out all of these creatures...;Vous vous rendez compte que Minas Ithil n'est habitée que par les loups et les esprits mauvais. Si vous souhaitez rebatir l'ancienne capitale de l'Ithilien, vous devrez d'abord en chasser toutes les créatures...;;;;;;;;;;;;x
EVTOPTAbuildings.134;I will slay all the beasts!;Je vais tuer toutes les créatures maléfiques !;;;;;;;;;;;;x
EVTOPTBbuildings.134;No, it's too dangerous...;Non, je suis trop faible…;;;;;;;;;;;;x
EVTTITbuildings.135;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.135;You managed to hunt most of the creatures within the ruins of Minas Ithil. There are still some orcs, but you will easily drive them out. Now, the hard work begins. You must destroy the old fortress of the Witch-King.;Vous avez réussi à chasser la plupart des créatures des ruines de Minas Ithil. Il reste encore quelques loups, mais vous en viendrez facilement à bout. Maintenant, le travail le plus difficile commence, il faut nettoyer la cité des débris et de la végétation.;;;;;;;;;;;;x
EVTOPTAbuildings.135;I will destroy that place of evil.;Je vais nettoyer la forteresse.;;;;;;;;;;;;x
EVTOPTBbuildings.135;No, I'm exhausted...;Je suis fatigué…;;;;;;;;;;;;x
EVTTITbuildings.136;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.136;The creatures that haunt Minas Ithil are stronger than you thought, and you have failed to dislodge them. After many fights, you decide to leave the ruins of the fortress of Ithilien.;Les créatures qui hantent Minas Ithil sont plus fortes que vous ne le pensiez, et vous n'avez pas réussi à les déloger. Après de nombreux combats, vous décidez de sortir des ruines de la forteresse de l'Ithilien.;;;;;;;;;;;;x
EVTOPTAbuildings.136;I will be back...;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.137;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.137;You managed to clear out most of the fortress and it is once again habitable. Now it is time to rebuild the keep and walls, and return Minas Ithil to its former glory.;Vous avez réussi à nettoyer la majeure partie de la forteresse, et elle est maintenant habitable. Il est temps de rebatir les batiments, les murs, et de redonner à Minas Ithil Erain sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.137;Great!;Parfait!;;;;;;;;;;;;x
EVTTITbuildings.138;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.138;As you begin to clear debris from the fortress, you are suddenly attacked by a band of orcs. You and your men carry only tools, and you are quickly overrun and forced to retreat.;Alors que vous commencez à nettoyer la forteresse, vous êtes attaqué par une meute de loups. Vos hommes ayant abandonné les armes pour des sacs, vous ne pouvez vous défendre, et devez battre en retraite.;;;;;;;;;;;;x
EVTOPTAbuildings.138;Curses!;Je reviendrais.;;;;;;;;;;;;x
EVTTITbuildings.139;The Ruins of Minas Ithil;Les Ruines de Minas Ithil;;;;;;;;;;;;x
EVTDESCbuildings.139; While clearing out the fortress, you find a room full of collapsed rubble. After some digging it is clear that it was once the hall of the palantir, and amidst rusty swords and broken spears, you notice a soft glowing orb. You pick up the orb and have a look at it. suddenly the stone shows you a vision of the tower of Ecthelion, this is the palantir of Minas Ithil! After the fall of the city in TA 2002 the palantir was lost.;Alors que vous commencez à nettoyer la forteresse, vous trouvez une salle recouverte par les décombres, non loin de la Salle du Trône. Il s'agit d'une Salle d'Armes, et au milieu des épées rouillées et des lances brisées, vous remarquez une armure en parfait état, richement parée. Il s'agit certainement de l'armure de parade d'Arvedui, le dernier Roi d'Ithilien, abandonnée durant la destruction de la Forteresse.;;;;;;;;;;;;x
EVTOPTAbuildings.139;One of the seven stones!;Elle sera parfaite pour moi !;;;;;;;;;;;;x
rebuild_minas_ithil;Rebuild Minas Ithil;;;;;;;;;;;;;x
rebuild_minas_ithil_desc;The city fell to the forces of Morder in TA 2002, but now the city is back in rightful hands. Will you cast away the shadow of Minas Morgul and make Minas Ithil great again?;;;;;;;;;;;;;x
