#PROV;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
PROV447;Kyzilkum;Kyzilkum;;;Kyzilkum;;x
PROV448;Havais;Havais;;;Havais;;x
PROV449;Ammu Khand;Ammu Khand;;;Ammu Khand;;x
PROV450;Ahrûl Admal;Ahrûl Admal;;;Ahrûl Admal;;x
PROV451;Laorki;Laorki;;;Laorki;;x
PROV452;Sturlurtsa Khand;Sturlurtsa Khand;;;Sturlurtsa Khand;;x
PROV453;Kruk Mahur;Kruk Mahur;;;Kruk Mahur;;x
PROV454;Suthvais;Suthvais;;;Suthvais;;x
PROV455;Vatresh;Vatresh;;;Vatresh;;x
PROV456;Bogath;Bogath;;;Bogath;;x
PROV457;Ershawar;Ershawar;;;Ershawar;;x
PROV458;Kas Auebel;Kas Auebel;;;Kas Auebel;;x
PROV459;Gizar;Gizar;;;Gizar;;x
PROV460;Kupsha;Kupsha;;;Kupsha;;x
PROV461;Hills of Kajbah;Hills of Kajbah;;;Ered Kajbah;;x
PROV462;Korb Chelkar;Korb Chelkar;;;Korb Chelkar;;x
PROV463;Oud Ilaz;Oud Ilaz;;;Oud Ilaz;;x
PROV464;Kas Ilaz;Kas Ilaz;;;Kas Ilaz;;x
PROV465;Emyn Kajbah;Emyn Kajbah;;;Emyn Kajbah;;x
PROV466;Wastes of Kajbah;Wastes of Kajbah;;;Piana del Kajbah;;x
PROV467;Kadar Argon;Kadar Argon;;;Kadar Argon;;x
PROV468;Dunamrûn;Dunamrûn;;;Dunamrûn;;x
PROV469;Rhûn Amrûn;Rhûn Amrûn;;;Rhûn Amrûn;;x
PROV470;Korb Taskral;Korb Taskral;;;Korb Taskral;;x
PROV471;Korondaj;Korondaj;;;Korondaj;;x
PROV472;Korb Haruzan;Korb Haruzan;;;Korb Haruzan;;x
PROV473;Thrijha Peh;Thrijha Peh;;;Thrijha Peh;;x
PROV474;Vale of Haruz;Vallée d'Haruz;;;Valle dell'Haruz;;x
PROV475;Feah;Feah;;;Feah;;x
PROV476;Sook Oda;Sook Oda;;;Sook Oda;;x
PROV477;Kas Shafra;Kas Shafra;;;Kas Shafra;;x
PROV478;Sûkh Akhôr;Sûkh Akhôr;;;Sûkh Akhôr;;x
PROV479;Kiba;Kiba;;;Kiba;;x
PROV480;An Tarim;An Tarim;;;An Tarim;;x
PROV481;An Pharaz;An Pharaz;;;An Pharaz;;x
PROV482;Bur Baklin;Bur Baklin;;;Bur Baklin;;x
PROV483;An Abâr;An Abâr;;;An Abâr;;x
PROV484;An Zalim;An Zalim;;;An Zalim;;x
PROV485;An Karagmir;An Karagmir;;;An Karagmir;;x
PROV486;Krub Mabur;Krub Mabur;;;Krub Mabur;;x
PROV487;Parzee;Parzee;;;Parzee;;x
PROV488;Bur Pezarsan;Bur Pezarsan;;;Bur Pezarsan;;x
PROV489;Talazhan;Talazhan;;;Talazhan;;x
PROV490;Vale of Pezar;Vallée de Pezar;;;Vale of Pezar;;x
PROV491;Enmahadah;Enmahadah;;;Enmahadah;;x
PROV492;Korb Mikarin;Korb Mikarin;;;Korb Mikarin;;x
PROV493;Mikarin Peh;Mikarin Peh;;;Mikarin Peh;;x
PROV494;Ovathrac;Ovathrac;;;Ovathrac;;x
PROV495;Kruk Boyadla;Kruk Boyadla;;;Kruk Boyadla;;x
PROV496;Sandmarish;Marais de Sable;;;Palude delle Sabbie;;x
PROV497;An Talazh;An Talazh;;;An Talazh;;x
PROV498;Sandroad;Route-de-Sable;;;Via Sabbiosa;;x
PROV499;Lurm;Lurm;;;Lurm;;x
PROV500;Kruk Datmen;Kruk Datmen;;;Kruk Datmen;;x
PROV501;Brafenas;Brafenas;;;Brafenas;;x
PROV502;Zhaneen;Zhaneen;;;Zhaneen;;x
PROV503;Sakûn;Sakûn;;;Sakûn;;x
PROV504;Bur Lurmsakûn;Bur Lurmsakûn;;;Bur Lurmsakûn;;x
PROV505;Hills of Sand;Monts de Sable;;;Colli Sabbiosi;;x
PROV506;Gritland;Terre-de-Poussière;;;Terre Polverose;;x
PROV507;Dusthills;Monts-de-Poussière;;;Colli Polverosi;;x
PROV508;Dying Pass;Passe-de-Mort;;;Passo della Morte;;x
PROV509;Layotam;Layotam;;;Layotam;;x
PROV510;Maresh;Maresh;;;Maresh;;x
PROV511;Duneroad;Route-des-Dunes;;;Passo delle Dune;;x
PROV512;Kruk Azbanna;Kruk Azbanna;;;Kruk Azbanna;;x
PROV513;Imak Peh;Imak Peh;;;Imak Peh;;x
PROV514;Anrkaz;Anrkaz;;;Anrkaz;;x
PROV515;Tereze;Tereze;;;Tereze;;x
PROV516;Torask;Torask;;;Torask;;x
PROV517;Ûrêzâyan;Ûrêzâyan;;;Ûrêzâyan;;x
PROV518;Zimrenzîl;Zimrenzîl;;;Zimrenzîl;;x
PROV519;Urud-an-Kibil;Urud-an-Kibil;;;Urud-an-Kibil;;x
PROV520;Nilulondë;Nilulondë;;;Nilulondë;;x
PROV521;Telarûd;Telarûd;;;Telarûd;;x
PROV522;Zadan-an-Adûn;Zadan-an-Adûn;;;Zadan-an-Adûn;;x
PROV523;Kadar-an-Balkuzôr;Kadar-an-Balkuzôr;;;Kadar-an-Balkuzôr;;x
PROV524;Abârrûkh;Abârrûkh;;;Abârrûkh;;x
PROV525;Hazaj Tollin;Hazaj Tollin;;;Hazaj Tollin;;x
PROV526;Nykkea;Nykkea;;;Nykkea;;x
PROV527;Sarnak Hôr;Sarnak Hôr;;;Sarnak Hôr;;x
PROV528;Narik-Zadan;Narik-Zadan;;;Narik-Zadan;;x
PROV529;Dusalan;Dusalan;;;Dusalan;;x
PROV530;Belabâr;Belabâr;;;Belabâr;;x
PROV531;Sulaj-Dar;Sulaj-Dar;;;Sulaj-Dar;;x
PROV532;Kor Mumak;Kor Mumak;;;Kor Mumak;;x
PROV533;Khorsâj;Khorsâj;;;Khorsâj;;x
PROV534;North Dune Sea;Mer de Sable Nord;;;Mare di Sabbia;;x
PROV535;Tûl Isra;Tûl Isra;;;Tûl Isra;;x
PROV536;Kes Arik;Kes Arik;;;Kes Arik;;x
PROV537;Akhûl;Akhûl;;;Akhûl;;x
PROV538;Forestweb;Réseaubois;;;Forestweb;;x
PROV539;Dale;Dale;;;Dale;;x
PROV540;Esgaroth;Esgaroth;;;Pontelagolungo;;x
PROV541;Withibord;Withibord;;;Withibord;;x
PROV542;Celduinim;Celduinim;;;Celduinim;;x
PROV543;Bardtown;Bardville;;;Bardoburgo;;x
PROV544;Gramavuld;Gramavuld;;;Gramavuld;;x
PROV545;Burh Kaupis;Burh Kaupis;;;Burh Kaupis;;x
PROV546;Grasgard;Grasgard;;;Grasgard;;x
PROV547;Tunn Vidugavia;Tunn Vidugavia;;;Tunn Vidugavia;;x
PROV548;Orchal Carnen;Orchal Carnen;;;Orchal Carnen;;x
PROV549;Ningloruin;Ningloruin;;;Ningloruin;;x
PROV550;Govadnîn;Govadnîn;;;Govadnîn;;x
PROV551;Ronknurn;Ronknurn;;;Ronknurn;;x
PROV552;Ronkgûl;Ronkgûl;;;Ronkgûl;;x
PROV553;Emyn Burzum;Emyn Burzum;;;Emyn Burzum;;x
PROV554;Burzash;Burzash;;;Burzash;;x
PROV555;Krimp-hai;Krimp-hai;;;Krimp-hai;;x
PROV556;Duath-hai;Duath-hai;;;Duath-hai;;x
PROV557;Lugskai;Lugskai;;;Lugskai;;x
PROV558;Burzdug;Burzdug;;;Burzdug;;x
PROV559;Ogorsha;Ogorsha;;;Ogorsha;;x
PROV560;Globdurb;Globdurb;;;Globdurb;;x
PROV561;Burh Celduin;Burh Celduin;;;Burh Celduin;;x
PROV562;Ehwathr;Ehwathr;;;Ehwathr;;x
PROV563;Burh Alge;Burh Alge;;;Burh Alge;;x
PROV564;Burh Widu;Burh Widu;;;Burh Widu;;x
PROV565;Burh Marhlinge;Burh Marhlinge;;;Burh Marhlinge;;x
PROV566;Burh Waldmarhis;Burh Waldmarhis;;;Burh Waldmarhis;;x
PROV567;Burh Sauthis;Burh Sauthis;;;Burh Sauthis;;x
PROV568;Rumavuld;Rumavuld;;;Rumavuld;;x
PROV569;Dor Rhovanion;Dor Rhovanion;;;Dor Rhovanion;;x
PROV570;Annerchin;Annerchin;;;Annerchin;;x
PROV571;Thrór's Coomb;Thrór's Coomb;;;Comba di Thrór;;x
PROV572;Azanulimbar-Dûm;Azanulimbar-Dûm;;;Azanulimbar-Dûm;;x
PROV573;Duban-Nâla;Duban-Nâla;;;Duban-Nâla;;x
PROV574;Baraz-Duban;Baraz-Duban;;;Baraz-Duban;;x
PROV575;Ilanin;Ilanin;;;Ilanin;;x
PROV576;Szrel-Kain;Szrel-Kain;;;Szrel-Kain;;x
PROV577;Riavod;Riavod;;;Riavod;;x
PROV578;Uldonavan;Uldonavan;;;Uldonavan;;x
PROV579;Burh Dorwinion;Burh Dorwinion;;;Burh Dorwinion;;x
PROV580;Burh Ermanarikis;Burh Ermanarikis;;;Burh Ermanarikis;;x
PROV581;Logathavuld;Logathavuld;;;Logathavuld;;x
PROV582;Othlebed;Othlebed;;;Othlebed;;x
PROV583;Taur Romen;Taur Romen;;;Taur Romen;;x
PROV584;Nurunkhizdin;Nurunkhizdin;;;Nurunkhizdin;;x
PROV585;Dagorlad;Dagorlad;;;Dagorlad;;x
PROV586;Dead Marshes;Marais-des-Morts;;;Paludi Morte;;x
PROV587;Gelebrin;Gelebrin;;;Gelebrin;;x
PROV588;Bagronk;Bagronk;;;Bagronk;;x
PROV589;Dol Dagor;Dol Dagor;;;Dol Dagor;;x
PROV590;Thrumav;Thrumav;;;Thrumav;;x
PROV591;Ursh Lanna;Ursh Lanna;;;Ursh Lanna;;x
PROV592;Burh Rhovan;Burh Rhovan;;;Burh Rhovan;;x
PROV593;Tirith Thoron;Tirith Thoron;;;Tirith Thoron;;x
PROV594;Carn Rhoron;Carn Rhoron;;;Carn Rhoron;;x
PROV595;Sagath;Sagath;;;Sagath;;x
PROV596;Burh Avuld;Burh Avuld;;;Burh Avuld;;x
PROV597;Athav;Athav;;;Athav;;x
PROV598;Sagathaburh;Sagathaburh;;;Sagathaburh;;x
PROV599;Khurvasagh;Khurvasagh;;;Khurvasagh;;x
PROV600;Lest;Lest;;;Lest;;x
PROV601;Dilgul;Dilgul;;;Dilgul;;x
PROV602;Mistrand;Mistrand;;;Mistrand;;x
PROV603;Dor Kistis;Dor Kistis;;;Dor Kistis;;x
PROV604;Gathod;Gathod;;;Gathod;;x
PROV605;Uldovhar;Uldovhar;;;Uldovhar;;x
PROV606;Kugavod;Kugavod;;;Kugavod;;x
PROV607;Kelepar;Kelepar;;;Kelepar;;x
PROV608;Agasha Dag;Agasha Dag;;;Agasha Dag;;x
PROV609;Mispar;Mispar;;;Mispar;;x
PROV610;Nuruvan;Nuruvan;;;Nuruvan;;x
PROV611;Nûrad;Nûrad;;;Nûrad;;x
PROV612;Khundolan;Khundolan;;;Khundolan;;x
PROV613;Rhûnavuld;Rhûnavuld;;;Rhûnavuld;;x
PROV614;Kas Rhûn;Kas Rhûn;;;Kas Rhûn;;x
PROV615;Diluvuld;Diluvuld;;;Diluvuld;;x
PROV616;Thoropar;Thoropar;;;Thoropar;;x
PROV617;Ilapar;Ilapar;;;Ilapar;;x
PROV618;Logathavuld;Logathavuld;;;Logathavuld;;x
PROV619;Nan Gurth;Nan Gurth;;;Nan Gurth;;x
PROV620;Panth Gurehil;Panth Gurehil;;;Panth Gurehil;;x
PROV621;Duvuinen;Duvuinen;;;Duvuinen;;x
PROV622;Gorothlad;Gorothlad;;;Gorothlad;;x
PROV623;Urugarth;Urugarth;;;Urugarth;;x
PROV624;Carn Dûm;Carn Dûm;;;Carn Dûm;;x
PROV625;Angsûl;Angsûl;;;Angsûl;;x
PROV626;Imlad Balcorth;Imlad Balcorth;;;Imlad Balcorth;;x
PROV627;Cangash;Cangash;;;Cangash;;x
PROV628;Malenhad;Malenhad;;;Malenhad;;x
PROV629;Himbar;Himbar;;;Himbar;;x
PROV630;Fasach-falroid;Fasach-falroid;;;Fasach-falroid;;x
PROV631;Fasach-larran;Fasach-larran;;;Fasach-larran;;x
PROV632;Ram Dúath;Ram Dúath;;;Ram Dúath;;x
PROV633;Aughaire;Aughaire;;;Aughaire;;x
PROV634;Nan Lòke;Nan Lòke;;;Nan Lòke;;x
PROV635;Nan Morlith;Nan Morlith;;;Nan Morlith;;x
PROV636;Bûth-Ovaisa;Bûth-Ovaisa;;;Bûth-Ovaisa;;x
PROV637;Zarok-Iôrag;Zarok-Iôrag;;;Zarok-Iôrag;;x
PROV638;Orduga-Avaisa;Orduga-Avaisa;;;Orduga-Avaisa;;x
PROV639;Lagari-Ôrath;Lagari-Ôrath;;;Lagari-Ôrath;;x
PROV640;Nebûrkha;Nebûrkha;;;Nebûrkha;;x
PROV641;Valley of the Fellbeasts;Vallée des Bêtes Redoutables;;;Valle delle Fere Alate;;x
PROV642;Gundabad;Gundabad;;;Gundabad;;x
PROV643;Ikhûrirkûl;Ikhûrirkûl;;;Ikhûrirkûl;;x
PROV644;Zirakdûm;Zirakdûm;;;Zirakdûm;;x
PROV645;Harmaghdad;Harmaghdad;;;Harmaghdad;;x
PROV646;Burh Harmal;Burh Harmal;;;Burh Harmal;;x
PROV647;Janprok;Janprok;;;Janprok;;x
PROV648;Kopanzke;Kopanzke;;;Kopanzke;;x
PROV649;Siakab;Siakab;;;Siakab;;x
PROV650;Sicanna;Sicanna;;;Sicanna;;x
PROV651;Kas Ham;Kas Ham;;;Kas Ham;;x
PROV652;Tûr Kirmar;Tûr Kirmar;;;Tûr Kirmar;;x
PROV653;Rîntark;Rîntark;;;Rîntark;;x
PROV654;Barad-Dûr;Barad-Dûr;;;Barad-Dûr;;x
PROV655;Ugûlaî;Ugûlaî;;;Ugûlaî;;x
PROV656;Dol Amroth;Dol Amroth;;;Dol Amroth;;x
PROV657;Mithlond;Mithlond;;;Mithlond;;x
PROV658;Tuckland;Pays-de-Touque;;;Tuckland;;x
PROV659;Annúminas;Annúminas;;;Annúminas;;x
PROV660;Ascahiriand;Ascahiriand;;;Ascahiriand;;x
PROV661;Mirilgasin;Mirilgasin;;;Mirilgasin;;x
PROV662;Durthang;Durthang;;;Durthang;;x
PROV663;Cair Andros;Cair Andros;;;Cair Andros;;x
PROV664;Undertower;Sous-la-Tour;;;Undertower;;x
PROV665;Greenholm;Greenholm;;;Greenholm;;x
PROV666;Vale of Thrain;Val de Thrain;;;Valle di Thrain;;x
PROV667;Jä-rannit;Jä-rannit;;;Jä-rannit;;x
PROV668;Taur Orthon;Taur Orthon;;;Taur Orthon;;x
PROV669;Talvi-mûri;Talvi-mûri;;;Talvi-mûri;;x
PROV670;Aglarond;Aglarond;;;Aglarond;;x
PROV671;Drúadan Forest;Forêt des Druedain;;;Foresta Drúadan;;x
PROV672;Tamnogoth;Tamnogoth;;;Tamnogoth;;x
PROV673;Zirakzinbar;Zirakzinbar;;;Zirakzinbar;;x
PROV674;Farakudum;Farakudum;;;Farakudum;;x
PROV675;Lithimm;Lithimm;;;Lithimm;;x
PROV676;Caradhras Pass;Caradhras;;;Passo del Caradhras;;x
PROV677;Amon Hen;Amon Hen;;;Amon Hen;;x
PROV678;Uthrael Beoac;Uthrael Beoac;;;Uthrael Beoac;;x
PROV679;Dáin's Halls;Dáin's Halls;;;Sale di Dáin;;x
PROV680;Sarch nia Linquelíë;Sarch nia Linquelíë;;;Sarch nia Linquelíë;;x
PROV681;Thakalgund;Thakalgund;;;Thakalgund;;x
PROV682;Himling;Himling;;;Himling;;x
PROV683;Forsteard;Forsteard;;;Forsteard;;x
PROV684;Adligwold;Adligwold;;;Adligwold;;x
PROV685;Barandalf;Barandalf;;;Barandalf;;x
PROV686;Woody End;Finboisé;;;Terminalbosco;;x
PROV687;Tower Hills;Collines de la Tour;;;Colli Torrioni;;x
PROV688;Carrock;Carrock;;;Carroccia;;x
PROV689;Beorn's Hall;Beornhall;;;Sale di Beorn;;x
PROV690;Athilin;Athilin;;;Athilin;;x
PROV691;Morannon;Morannon;;;Morannon;;x
PROV692;Nykkeaear;Nykkeaear;;;Nykkeaear;;x
PROV693;Anballukhôraear;Anballukhôraear;;;Anballukhôraear;;x
PROV694;Narikaear;Narikaear;;;Narikaear;;x
PROV695;Dusalanaear;Dusalanaear;;;Dusalanaear;;x
PROV696;Gulf of Umbar;Baie d'Umbar;;;Golfo di Umbar;;x
PROV697;Caldûraear;Caldûraear;;;Caldûraear;;x
PROV698;Sukhaear;Sukhaear;;;Sukhaear;;x
PROV699;Shafraear;Shafraear;;;Shafraear;;x
PROV700;Abarlonaear;Abarlonaear;;;Abarlonaear;;x
PROV701;Gulf of Mirlond;Golfe de Mirlond;;;Golfo di Mirlond;;x
PROV702;Harnaear;Harnaear;;;Harnaear;;x
PROV703;Methilaear;Methilaear;;;Methilaear;;x
PROV704;Gulf of Canthiriath;Golfe de Canthiriath;;;Golfo di Canthiriath;;x
PROV705;Strait of Tolfalas;Détroit de Tolfalas;;;Stretto di Tolfalas;;x
PROV706;Cape of Tolfalas;Cap de Tolfalas;;;Capo Tolfalas;;x
PROV707;Nargondaear;Nargondaear;;;Nargondaear;;x
PROV708;Dol Amroth Bay;Baie de Dol Amroth;;;Baia di Dol Amroth;;x
PROV709;Galenaear;Galenaear;;;Galenaear;;x
PROV710;Gulf of Annulond;Golfe d'Annulond;;;Golfo di Annulond;;x
PROV711;Hwarinaear;Hwarinaear;;;Hwarinaear;;x
PROV712;Tharagrondostaear;Tharagrondostaear;;;Tharagrondostaear;;x
PROV713;Cape of Andrast;Cap d'Andrast;;;Capo d'Andrast;;x
PROV714;Maiwinaear;Maiwinaear;;;Maiwinaear;;x
PROV715;Iauraear;Iauraear;;;Iauraear;;x
PROV716;Abastmilaear;Abastmilaear;;;Abastmilaear;;x
PROV717;Angrenaear;Angrenaear;;;Angrenaear;;x
PROV718;Gulf of Lond Daer;Golfe de Lond Daer;;;Golfo di Lond Daer;;x
PROV719;Linnuisaear;Linnuisaear;;;Linnuisaear;;x
PROV720;Gulf of Annithir;Golfe de Annithir;;;Golfo di Annithir;;x
PROV721;Cape Vorn;Cap Vorn;;;Capo Vorn;;x
PROV722;Gulf of Cithrenor;Golfe de Cithrenor;;;Golfo di Cithrenor;;x
PROV723;Laerglinnaear;Laerglinnaear;;;Laerglinnaear;;x
PROV724;Lildarhdanaear;Lildarhdanaear;;;Lildarhdanaear;;x
PROV725;Lairiardhonaear;Lairiardhonaear;;;Lairiardhonaear;;x
PROV726;Ethir Lindon;Ethir Lindon;;;Ethir Lindon;;x
PROV727;Harlondaear;Harlondaear;;;Harlondaear;;x
PROV728;Strait of Mithlond;Détroit de Mithlond;;;Stretto di Mithlond;;x
PROV729;Apariathaear;Apariathaear;;;Apariathaear;;x
PROV730;Estoriandaear;Estoriandaear;;;Estoriandaear;;x
PROV731;Landolasaear;Landolasaear;;;Landolasaear;;x
PROV732;Himlingaear;Himlingaear;;;Himlingaear;;x
PROV733;Celanoriandaear;Celanoriandaear;;;Celanoriandaear;;x
PROV734;Mindelhendraear;Mindelhendraear;;;Mindelhendraear;;x
PROV735;Cape Mindelhend;Cap de Mindelhend;;;Capo Mindelhend;;x
PROV736;Bay of Talvi;Baie de Talvi;;;Baia di Talvi;;x
PROV737;Great Bay of Forochel;Grande Baie de Forochel;;;Grande Baia del Forochel;;x
PROV738;Jarannitaear;Jarannitaear;;;Jarannitaear;;x
PROV739;Enedaear;Enedaear;;;Enedaear;;x
PROV740;Enedaear;Enedaear;;;Enedaear;;x
PROV741;Enedaear;Enedaear;;;Enedaear;;x
PROV742;Enedaear;Enedaear;;;Enedaear;;x
PROV743;Annuiaear;Annuiaear;;;Annuiaear;;x
PROV744;Annuiaear;Annuiaear;;;Annuiaear;;x
PROV745;Annuiaear;Annuiaear;;;Annuiaear;;x
PROV746;Haradaear;Haradaear;;;Haradaear;;x
PROV747;Haradaear;Haradaear;;;Haradaear;;x
PROV748;Haradaear;Haradaear;;;Haradaear;;x
PROV749;Haradaear;Haradaear;;;Haradaear;;x
PROV750;Nenuial;Nenuial;;;Nenuial;;x
PROV751;Long Lake;Long-Lac;;;Lagolungo;;x
PROV752;Sea of Núrnen;Mer de Núrnen;;;Mare di Núrnen;;x
PROV753;Sea of Rhûn;Mer de Rhûn;;;Mare di Rhûn;;x
PROV754;Celon Talsir;Celon Talsir;;;Celon Talsir;;x
PROV755;Celon Argond;Celon Argond;;;Celon Argond;;x
PROV756;Entamundo;Entamundo;;;Entamundo;;x
PROV757;Celon Tharbad;Celon Tharbad;;;Celon Tharbad;;x
PROV758;Ethir Anduin;Ethir Anduin;;;Ethir Anduin;;x
PROV759;Celon Pelargir;Celon Pelargir;;;Celon Pelargir;;x
PROV760;Celon Elemir;Celon Elemir;;;Celon Elemir;;x
PROV761;Channel of Osgiliath;Canal d'Osgiliath;;;Canale d'Osgiliath;;x
PROV762;Lagoon of Cair Andros;Lagon de Cair Andros;;;Laguna di Cair Andros;;x
PROV763;Celonharpen;Celonharpen;;;Celonharpen;;x
PROV764;Celon Arandal;Celon Arandal;;;Celon Arandal;;x
PROV765;Nen Hithoel;Nen Hithoel;;;Nen Hithoel;;x
PROV766;Celon Muil;Celon Muil;;;Celon Muil;;x
PROV767;Sarn Gebir;Sarn Gebir;;;Sarn Gebir;;x
PROV768;Celon Firnen;Celon Firnen;;;Celon Firnen;;x
PROV769;Celon Celebrant;Celon Celebrant;;;Celon Celebrant;;x
PROV770;Nancelon;Nancelon;;;Nancelon;;x
PROV771;Celonin;Celonin;;;Celonin;;x
PROV772;Gladden;Gladden;;;Gladden;;x
PROV773;Carrock Channel;Canal du Carrock;;;Canale della Carroccia;;x
PROV774;Celonanduin;Celonanduin;;;Celonanduin;;x
PROV776;Nan Laeglin;Nan Laeglin;;;Nan Laeglin;;x
PROV777;Fordirith;Fordirith;;;Fordirith;;x
PROV778;Celduin;Celduin;;;Celduin;;x
PROV779;Celduin;Celduin;;;Celduin;;x
PROV780;Celduin;Celduin;;;Celduin;;x
PROV781;Celduin;Celduin;;;Celduin;;x
PROV782;Celduin;Celduin;;;Celduin;;x
PROV783;Gothol-zigil;Gothol-zigil;;;Gothol-zigil;;x
PROV784;Tol Fuin;Tol Fuin;;;Tol Fuin;;x
PROV785;Gondobar;Gondobar;;;Gondobar;;x
PROV786;Tol Morwen;Tol Morwen;;;Tol Morwen;;x
PROV787;Morwenaer;Morwenaer;;;Morwenaer;;x
PROV788;Gondobaer;Gondobaer;;;Gondobaer;;x
PROV789;Dunhaear;Dunhaear;;;Dunhaear;;x
PROV790;Haradaer;Haradaer;;;Haradaer;;x
PROV791;Belegaer;Belegaer;;;Belegaer;;x
PROV792;Belegaer;Belegaer;;;Belegaer;;x
PROV793;Belegaer;Belegaer;;;Belegaer;;x
PROV794;Belegaer;Belegaer;;;Belegaer;;x
PROV795;Meneltafornear;Meneltafornear;;;Meneltafornear;;x
PROV796;Meneltarmear;Meneltarmear;;;Meneltarmear;;x
PROV797;Meneltarma;Meneltarma;;;Meneltarma;;x
PROV798;Forovirkain;Forovirkain;;;Forovirkain;;x
PROV799;Lókosin;Lókosin;;;Lókosin;;x
PROV800;Helkasiril;Helkasiril;;;Helkasiril;;x
PROV801;Eithel Ninglor;Eithel Ninglor;;;Eithel Ninglor;;x
PROV802;Rasroval;Rasroval;;;Rasroval;;x
PROV803;Aeglir Tongondren;Aeglir Tongondren;;;Aeglir Tongondren;;x
PROV804;Imlad Thoron;Imlad Thoron;;;Imlad Thoron;;x
PROV805;Mount Gram;Mont Gram;;;Mount Gram;;x
PROV806;Gundalók;Gundalók;;;Gundalók;;x
PROV807;Dunhîth;Dunhîth;;;Dunhîth;;x
PROV808;Rhûnwaith;Rhûnwaith;;;Rhûnwaith;;x
PROV809;Upper Forodwaith;Upper Forodwaith;;;Upper Forodwaith;;x
PROV810;Upper Rhûnwaith;Upper Rhûnwaith;;;Upper Rhûnwaith;;x
PROV811;Lôni;Lôni;;;Lôni;;x
PROV812;Fengûr;Fengûr;;;Fengûr;;x
