#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTpalantir_use.1;The Seeing Stones;Utiliser le Palantír?;;;;;x
EVTDESCpalantir.40;You're the Lord of Elostirion, but the Palantir that was in this Tower left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Elendil-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur d'Elostirion, mais le Palantir qui se trouvait dans cette Tour a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.40;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.40;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.41;The Elendil-Stone;La Pierre d'Elendil;;;;;x
EVTDESCpalantir.41;You're the Guardian of the Elendil-Stone, but you're not in Elostirion, where the Palantir should be. The current lord of this Tower of Arnor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre d'Elendil, mais vous ne vous trouvez pas à Elostirion, où le Palantir devrait se trouver. L'actuel seigneur de la tour d'Arnor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.41;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.41;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.42;The Elendil-Stone;La Pierre d'Elendil;;;;;x
EVTDESCpalantir.42;The Guardian of the Elendil-Stone has accepted your request and the Palantir returned to the Tower. As Lords of Elendil, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la tour. En tant que Seigneurs d'Elendil, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.42;The Elendil-Stone is back in the Tower.;La Pierre d'Elendil est de retour dans la Tour.;;;;;x
EVTTITpalantir.43;The Elendil-Stone;La Pierre d'Elendil;;;;;x
EVTDESCpalantir.43;The Guardian of the Elendil-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Elostirion, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Elostirion, pour le moment...;;;;;x
EVTOPTApalantir.43;I'll remember this…;Je m'en souviendrais…;;;;;x
EVTTITpalantir.44;The Annúminas-Stone;La Pierre d'Annúminas;;;;;x
EVTDESCpalantir.44;You're the Lord of Annúminas, but the Palantir that was in this city left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Annúminas-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur d'Annúminas, mais le Palantir qui se trouvait dans cette Cité a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.44;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.44;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.45;The Annúminas-Stone;La Pierre d'Annúminas;;;;;x
EVTDESCpalantir.45;You're the Guardian of the Annúminas-Stone, but you're not in Annúminas, where the Palantir should be. The current lord of this city of Arnor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre d'Annúminas, mais vous ne vous trouvez pas à Annúminas, où le Palantir devrait se trouver. L'actuel seigneur de la tour d'Arnor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.45;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.45;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.46;The Annúminas-Stone;La Pierre d'Annúminas;;;;;x
EVTDESCpalantir.46;The Guardian of the Annúminas-Stone has accepted your request and the Palantir returned to the city. As Lords of Annúminas, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la tour. En tant que Seigneurs d'Annúminas, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.46;The Annúminas-Stone is back in the city.;La Pierre d'Annúminas est de retour dans la Cité.;;;;;x
EVTTITpalantir.47;The Annúminas-Stone;La Pierre d'Annúminas;;;;;x
EVTDESCpalantir.47;The Guardian of the Annúminas-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Annúminas, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Annúminas, pour le moment...;;;;;x
EVTOPTApalantir.47;I'll remember this…;Je m'en souviendrais…;;;;;x
EVTTITpalantir.48;The Amon-Sûl-Stone;La Pierre d'Amon-Sûl;;;;;x
EVTDESCpalantir.48;You're the Lord of Amon-Sûl, but the Palantir that was in this tower left the walls, carried out by one of his Guardian. You should ask the current Guardian of the Amon-Sûl-Stone to bring the palantir to where it should be.;Vous êtes le Seigneur d'Amon-Sûl, mais le Palantir qui se trouvait dans cette Tour a quitté les murs, emporté par l'un de ses gardiens. Vous devriez demander à son gardien actuel de rapporter la pierre à l'endroit où elle doit reposer.;;;;;x
EVTOPTApalantir.48;I'll claim the Palantir.;Je réclame le Palantir.;;;;;x
EVTOPTBpalantir.48;It's not that important.;Ce n'est pas si grave.;;;;;x
EVTTITpalantir.49;The Amon-Sûl-Stone;La Pierre d'Amon-Sûl;;;;;x
EVTDESCpalantir.49;You're the Guardian of the Amon-Sûl-Stone, but you're not in Amon-Sûl, where the Palantir should be. The current lord of this tower of Arnor sent you a letter, asking you to return the stone to its rightful location. What will you answer him?;Vous êtes le Gardien de la Pierre d'Amon-Sûl, mais vous ne vous trouvez pas à Amon-Sûl, où le Palantir devrait se trouver. L'actuel seigneur de la tour d'Arnor vous a envoyé une missive, vous demandant de ramener la pierre à son emplacement légitime, sous sa garde. Qu'allez-vous lui répondre?;;;;;x
EVTOPTApalantir.49;This is a legitimate request.;C'est une demande légitime;;;;;x
EVTOPTBpalantir.49;I'm the rightful guardian of the Stone.;Je suis le Gardien Légitime de cette Pierre.;;;;;x
EVTTITpalantir.50;The Amon-Sûl-Stone;La Pierre d'Amon-Sûl;;;;;x
EVTDESCpalantir.50;The Guardian of the Amon-Sûl-Stone has accepted your request and the Palantir returned to the tower. As Lords of Amon-Sûl, you and your heirs now become the guardians and will have to protect the stone, whatever the cost.;Le Gardien de la Pierre a accepté votre demande, et le Palantir est revenu dans la tour. En tant que Seigneurs d'Amon-Sûl, vous et vos héritiers en devenez maintenant le gardien, et devrez protéger la pierre quoiqu'il en coûte.;;;;;x
EVTOPTApalantir.50;The Amon-Sûl-Stone is back in the tower.;La Pierre d'Amon-Sûl est de retour dans la Tour.;;;;;x
EVTTITpalantir.51;The Amon-Sûl-Stone;La Pierre d'Amon-Sûl;;;;;x
EVTDESCpalantir.51;The Guardian of the Amon-Sûl-Stone has denied your claim, arguing that he's the legitimate protector of the Palantir. The Stone doesn't return to Amon-Sûl, for now ...;Le Gardien de la Pierre a rejeté votre demande, arguant qu'il est le protecteur légitime du Palantir. La Pierre ne revient donc pas à Amon-Sûl, pour le moment...;;;;;x
EVTOPTApalantir.51;I'll remember this…;Je m'en souviendrais…;;;;;x

obj_claim_palantir_anor_title;Claim the Anor-Stone;Réclamer la Pierre d'Anor;;;;;x
obj_claim_palantir_anor_desc;You're the true Lord of Minas Tirith, but you don't holds the Anor-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur de Minas Tirith, mais vous ne détenez pas la Pierre d'Anor. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
obj_claim_palantir_sul_title;Claim the Amon Sûl-Stone;Réclamer la Pierre d'Amon Sûl;;;;;x
obj_claim_palantir_sul_desc;You're the true Lord of Amon Sûl, but you don't holds the Amon Sûl-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur d'Amon Sûl, mais vous ne détenez pas la Pierre d'Amon Sûl. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
obj_claim_palantir_ithil_title;Claim the Ithil-Stone;Réclamer la Pierre d'ithil;;;;;x
obj_claim_palantir_ithil_desc;You're the true Lord of Minas Ithil, but you don't holds the Ithil-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur de Minas Ithil, mais vous ne détenez pas la Pierre d'Ithil. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
obj_claim_palantir_osgiliath_title;Claim the Osgiliath-Stone;Réclamer la Pierre d'Osgiliath;;;;;x
obj_claim_palantir_osgiliath_desc;You're the true Lord of Osgiliath, but you don't holds the Osgiliath-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur d'Osgiliath, mais vous ne détenez pas la Pierre d'Osgiliath. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
obj_claim_palantir_elostirion_title;Claim the Elendil-Stone;Réclamer la Pierre d'Elendil;;;;;x
obj_claim_palantir_elostirion_desc;You're the true Lord of Elostirion, but you don't holds the Elendil-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur d'Elostirion, mais vous ne détenez pas la Pierre d'Elendil. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
obj_claim_palantir_annuminas_title;Claim the Annúminas-Stone;Réclamer la Pierre d'Annúminas;;;;;x
obj_claim_palantir_annuminas_desc;You're the true Lord of Annúminas, but you don't holds the Annúminas-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur d'Annúminas, mais vous ne détenez pas la Pierre d'Annúminas. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
obj_claim_palantir_orthanc_title;Claim the Orthanc-Stone;Réclamer la Pierre d'Orthanc;;;;;x
obj_claim_palantir_orthanc_desc;You're the true Lord of Orthanc, but you don't holds the Orthanc-Stone. You should try to recover the Palantir, for the glory of your house.;Vous êtes le Seigneur d'Orthanc, mais vous ne détenez pas la Pierre d'Orthanc. Vous devriez essayer de récupérer le Palantir, pour la gloire de votre maison.;;;;;x
EVTDESCpalantir.52;The Guardians of the Palantiri are …;Les Gardiens des Palantiri sont…;;;;;x
EVTOPTApalantir.52;Ok.;Ok.;;;;;x
CURRENTANOR;The Anor-Stone;La Pierre d'Anor;;;;;x
CURRENTSUL;The Amon-Sûl-Stone;La Pierre d'Amon Sûl;;;;;x
CURRENTITHIL;The Ithil-Stone;La Pierre d'Ithil;;;;;x
CURRENTOSGILIATH;The Osgiliath-Stone;La Pierre d'Osgiliath;;;;;x
CURRENTELENDIL;The Elendil-Stone;La Pierre d'Elendil;;;;;x
CURRENTANNUMINAS;The Annuminas-Stone;La Pierre d'Annuminas;;;;;x
CURRENTORTHANC;The Orthanc-Stone;La Pierre d'Orthanc;;;;;x
EVTTITpalantir.53;Use the Palantir?;Utilisez le Palantir?;;;;;x
EVTDESCpalantir.53;You've a palantir, and in this time of war, it may be wise to use it. What do you think? Will you try to learn how to use the stone in order to contact other Palantiri's Guardians?;Vous possédez un palantir, et alors que vous devez mener vos armées à la guerre, il serait peut-être sage de s'en servir. Qu'en pensez-vous? Allez-vous tenter d'apprendre à utiliser la pierre, afin de contacter les autres gardiens?;;;;;x
EVTOPTApalantir.53;Yes, i'll try to use it…;Oui, je vais essayer de l'utiliser…;;;;;x
EVTOPTBpalantir.53;No, i can't do it.;Non, je ne peux pas le faire.;;;;;x
EVTTITpalantir.54;The Palantir;Le Palantir;;;;;x
EVTDESCpalantir.54;You managed to use the Palantir, and it is now bent to your will. You should now use it to your advantage in this war. If you try to contact another guardian, maybe you'll ask some aid in this war…;Vous avez réussi à utiliser le Palantir, et celui-ci se plie désormais à votre volonté. Vous devriez maintenant l'utiliser à votre avantage dans cette guerre. En contactant un autre Gardien, vous recevrez peut-être de l'aide dans cette guerre…;;;;;x
EVTOPTApalantir.54;I'll try to contact another Guardian.;Je vais tenter de contacter un autre Gardien.;;;;;x
EVTOPTBpalantir.54;I'll try to improve my knowledges of this world.;Je vais tenter d'améliorer mes connaissances de ce monde.;;;;;x
EVTTITpalantir.55;The Guardians;Les Gardiens;;;;;x
EVTDESCpalantir.55;While you are about to contact another stone of vision, you need to choose where you want to turn your gaze. Towards on of the Stones of Arnor? Or one of the Stones of Gondor?;Alors que vous vous apprêtez à contacter une autre pierre de vision, vous devez choisir vers laquelle vous voulez tourner votre regard. Vers une des Pierres d'Arnor? Ou une des Pierres du Gondor?;;;;;x
EVTOPTApalantir.55;I'll contact the Gondor.;Je vais contacter le Gondor.;;;;;x
EVTOPTBpalantir.55;I'll contact Arnor.;Je vais contacter l'Arnor.;;;;;x
EVTTITpalantir.56;The Stones of Gondor;Les Pierres du Gondor;;;;;x
EVTDESCpalantir.56;You turn your gaze to Gondor, and you are looking for stones that are reachable in the South. To which will you turn?;Vous tournez votre regard vers le Gondor, et vous cherchez les Pierres qui sont joignables au Sud. Vers laquelle allez-vous vous tourner?;;;;;x
EVTOPTApalantir.56;I'll contact the Orthanc-Stone;Je vais contacter la Pierre d'Orthanc;;;;;x
EVTOPTBpalantir.56;I'll contact the Osgiliath-Stone;Je vais contacter la Pierre d'Osgiliath;;;;;x
EVTOPTCpalantir.56;I'll contact the Ithil-Stone;Je vais contacter la Pierre d'Ithil;;;;;x
EVTOPTDpalantir.56;I'll contact the Anor-Stone;Je vais contacter la Pierre d'Anor;;;;;x
EVTOPTEpalantir.56;There's no more Stones in the South…;Il n'y a plus de Pierres au Sud…;;;;;x
EVTOPTFpalantir.56;No allies holds the Stones of the South…;Aucun allié ne détient les Pierres du Sud…;;;;;x
EVTTITpalantir.57;The Stones of Arnor;Les Pierres d'Arnor;;;;;x
EVTDESCpalantir.57;You turn your gaze to Arnor, and you are looking for stones that are reachable in the North. To which will you turn?;Vous tournez votre regard vers l'Arnor, et vous cherchez les Pierres qui sont joignables au Nord. Vers laquelle allez-vous vous tourner?;;;;;x
EVTOPTApalantir.57;I'll contact the Annuminas-Stone;Je vais contacter la Pierre d'Annuminas;;;;;x
EVTOPTBpalantir.57;I'll contact the Amon Sûl-Stone;Je vais contacter la Pierre d'Amon Sûl.;;;;;x
EVTOPTCpalantir.57;There's no more Stones in the North…;Il n'y a plus de Pierres au Nord…;;;;;x
EVTOPTDpalantir.57;No allies holds the Stones of the North…;Aucun allié ne détient les Pierres du Nord…;;;;;x
EVTTITpalantir.58;A call from a Palantir;Un appel par le Palantir;;;;;x
EVTDESCpalantir.58;A Guardian of one of the Palantíri contacted you via the stone of vision. He's currently at war, and asks for your help in this conflict. With your stone, you see that it is indeed threatened by enemies. What will you do?;Un des gardiens des Palantiri vous a contacté via la pierre de vision. Il est actuellement en guerre, et demande votre aide dans ce conflit. Avec votre pierre, vous voyez qu'il est en effet menacé par des ennemis. Qu'allez-vous faire?;;;;;x
EVTOPTApalantir.58;I'll send more soldiers.;Je vais envoyer plus de troupes.;;;;;x
EVTOPTBpalantir.58;We'll join his war!;Nous nous joindrons à lui !;;;;;x
EVTOPTCpalantir.58;I can't help him.;Je ne peux pas l'aider.;;;;;x
EVTTITpalantir.59;More troops;Plus de soldats;;;;;x
EVTDESCpalantir.59;The Guardian of the Palantir you contacted responded positively to your request, and sends you new troops of his personal guard to help you in this conflict.;Le Gardien du Palantir que vous avez contacté a répondu positivement à votre demande, et vous envoie de nouvelles troupes de sa garde personnelle pour vous aider dans ce conflit.;;;;;x
EVTOPTApalantir.59;Great!;Parfait !;;;;;x
EVTTITpalantir.60;A new ally;Un nouvel allié;;;;;x
EVTDESCpalantir.60;The Guardian of the Palantir you contacted responded positively to your request, and his kingdom now joined yours in this war.;Le Gardien du Palantir que vous avez contacté a répondu positivement à votre demande, et son royaume se joint désormais au votre dans cette guerre.;;;;;x
EVTOPTApalantir.60;Great!;Parfait !;;;;;x
EVTTITpalantir.61;No helps…;Aucune aide…;;;;;x
EVTDESCpalantir.61;The Guardian Palantir you have contacted won't help you in this war, and you're alone with this threat.;Le Gardien du Palantir que vous avez contacté ne pourra vous aider dans cette guerre, et vous êtes seul face à cette menace.;;;;;x
EVTOPTApalantir.61;I see…;Je vois…;;;;;x
EVTTITpalantir.63;Use of the Palantír;Utilisation du Palantir;;;;;x
EVTDESCpalantir.63;You have difficulty controlling the Palantir, and you use many forces when you try to use it properly. You feel your body weaken, but little by little, you begin to see something ...;Vous avez du mal à maitriser le Palantir, et vous utilisez de nombreuses forces à tenter de l'utiliser correctement. Vous sentez votre corps s'affaiblir, mais petit à petit, vous commencez à voir quelquechose...;;;;;x
EVTOPTApalantir.63;It's so hard to use…;C'est si difficile à utiliser…;;;;;x
EVTTITpalantir.64;Use of the Palantir;Utilisation du Palantir;;;;;x
EVTDESCpalantir.64;You have difficulty controlling the Palantir, and you use many forces when you try to use it properly. You feel your body weaken, and nothing seems to appears correctly. You're not strongh enough, and your mind is weakened…;Vous avez du mal à maitriser le Palantir, et vous utilisez de nombreuses forces à tenter de l'utiliser correctement. Vous sentez votre corps s'affaiblir, et toujours aucune image n'apparait correctement. Vous n'êtes pas assez fort pour l'utiliser, et votre esprit s'affaiblit…;;;;;x
EVTOPTApalantir.64;I'm so weak…;Je suis si faible…;;;;;x
EVTTITpalantir.62;@FIXME@ Palantir;@FIXME@ Palantir;;;;;x
EVTDESCpalantir.62;@FIXME@ Event to see if the character is strong enough to use the palantir ;@FIXME@ Event to see if the character is strong enough to use the palantir ;;;;;x

